Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,1.8107,2.7711,1.9786,2.5128,2.2891,1.9029,2.1251,4.8549,1.626,2.2328,3.5627,2.8623,1.7325,3.0919,1.18,2.0317,1.3811,1.5964,2.4046,1.8243,1.9682,1.7044,1.982,1.2565,2.6627,6.4271
,2 back,4.0845,2.4372,2.0641,2.4494,2.2335,1.6533,2.6926,5.0693,3.1788,2.3112,2.8581,2.775,1.6842,2.5611,1.3214,2.1542,2.738,1.774,2.0554,2.3648,2.3277,2.3821,1.7974,1.504,2.2694,7.7954
,3 back,2.0639,2.6797,2.8661,2.4062,1.9061,3.1217,2.5351,3.918,1.4724,1.4997,2.2439,1.9092,2.5764,2.9773,1.4036,2.1312,3.4799,1.1217,2.1397,2.2127,2.2327,2.5349,1.3819,1.7916,2.3016,8.0719
Channel 05,0 back,1.9031,2.1353,2.2644,2.5038,2.4353,3.7064,2.6152,2.9765,2.1219,3.2757,1.7481,1.7476,3.444,2.0712,1.7352,2.2902,2.488,3.6673,3.4923,1.7292,2.4663,2.2307,3.0417,3.1422,2.2844,2.5699
,2 back,1.8953,2.1332,2.2666,3.5155,3.0336,3.3243,2.7415,2.4594,2.6087,2.53E+00,2.9811,2.6827,2.7452,2.0255,3.8273,3.2279,2.3276,4.1631,2.7509,2.8478,2.8656,2.0784,2.6915,2.3933,1.9758,2.826
,3 back,1.6965,2.3595,4.1071,3.4775,2.4374,3.0673,3.4285,2.7871,1.6553,2.9134,2.3564,3.4284,3.2838,2.4684,2.2313,3.0038,3.4438,2.9291,3.6797,2.9642,1.9535,2.8342,3.1089,3.757,2.1541,3.1836
Channel 06,0 back,3.3734,3.735,2.0666,2.6829,3.0715,2.7323,2.4977,3.0603,1.6847,2.7711,3.6448,4.2801,2.9499,3.4943,2.4375,2.1955,2.5954,8.931,3.987,2.6794,2.1363,3.5159,2.2908,1.9005,2.2354,3.5987
,2 back,3.8293,3.5826,3.3862,3.7165,2.5838,3.6861,2.805,2.4076,2.9294,2.4114,3.9909,3.1905,3.7581,3.3668,2.9749,3.685,2.2278,4.3411,3.967,3.5239,2.9328,4.4992,1.9541,2.7251,1.8775,4.0807
,3 back,3.5304,3.4007,3.3709,3.4344,3.0779,3.4023,2.2564,2.0813,5.1709,2.9185,4.0145,3.6895,4.0541,3.7775,4.8561,2.9489,3.2603,2.9998,4.8655,3.532,1.9772,8.5172,1.548,1.7719,2.4,3.715
Channel 08,0 back,3.6651,4.6305,3.3173,2.5736,2.7548,3.3248,3.2167,2.6302,2.9549,3.4342,3.3441,3.8459,3.6146,2.9693,3.4893,2.3971,3.039,7.2775,3.5341,3.1001,3.353,2.6986,2.578,2.2385,2.1787,3.8778
,2 back,3.6099,4.2832,3.37,3.3439,2.5691,7.687,2.6957,2.8883,3.7446,3.366,4.386,3.4098,3.888,2.7396,3.9891,2.4957,2.7016,5.4594,3.6379,4.3257,2.32,4.0573,2.829,2.1628,2.2793,3.7363
,3 back,4.0174,4.1636,3.1659,2.9585,2.2798,3.3921,1.8995,1.8731,3.4127,3.3895,3.5747,3.2623,3.9373,2.8666,3.9928,14.4778,3.2355,2.2313,3.6065,4.3384,2.562,3.4907,2.4995,2.7351,2.261,3.4722
Channel 11,0 back,2.8126,3.0555,2.7983,2.8157,2.4572,3.1643,1.8631,3.7964,2.3406,2.2028,1.8765,2.9052,2.6209,2.1556,3.7599,2.1253,2.4349,2.457,3.1935,1.5462,2.12,1.7617,2.6426,2.4586,2.931,2.1403
,2 back,4.2905,2.1381,2.2683,3.8215,2.5106,3.7524,2.4584,2.5432,4.2396,2.3188,2.5748,3.2945,2.1292,2.1797,3.1771,1.7203,2.4333,2.5057,2.0851,2.8073,2.9325,2.8042,3.149,2.3041,2.5264,3.2868
