Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,-0.0953,0.1381,-0.4417,-0.0423,-0.1535,-0.1353,-0.0309,-0.109,-0.4565,-0.0084,-0.1826,-0.3228,-0.3134,-0.1483,-0.1145,0.0145,-0.6921,0.25,-0.5218,0.0745,-0.3033,-0.2524,0.0104,-0.1864,-0.1706,-0.3078
,2 back,-0.1006,0.3517,-0.0607,-0.3466,0.1057,0.0431,-0.0766,-0.0286,0.1482,-0.0854,0.0235,0.0827,0.0284,0.0325,0.2931,-0.0828,0.1007,-0.2622,0.164,-5.04E-04,-0.0866,0.2095,-0.164,0.0275,-0.0074,0.0861
,3 back,0.1792,-0.3775,0.3844,0.2697,0.0253,-0.0335,0.1277,0.5018,0.0449,0.3568,0.0335,0.1946,0.371,0.4258,0.2671,0.2341,0.6153,0.0014,0.4028,0.3929,0.2242,0.3462,0.1546,0.3774,0.217,0.3215
Channel 05,0 back,-0.1041,-0.0962,-0.383,-0.2074,-0.0948,-0.064,-0.37,-0.1196,0.022,-0.0406,-0.3655,-0.0873,-0.1269,-0.0243,-0.2411,-0.1071,-0.4199,0.0294,0.0642,-0.019,-0.2536,-0.4315,0.0018,-0.3954,-0.1575,-0.2126
,2 back,0.07,0.2737,-0.1044,0.0775,0.1572,-0.149,0.0176,-0.0745,0.2723,6.49E-04,0.2793,0.1227,-0.1462,0.0422,0.2106,-0.1602,0.1667,-0.0936,0.0613,0.2295,-0.0021,-0.144,-0.1023,-0.0466,-0.3526,-0.0152
,3 back,0.0237,-0.1162,0.6456,0.139,-0.0878,0.2178,0.2045,0.1336,-0.2885,0.2053,0.2994,0.0094,0.1867,0.2648,0.1957,0.4009,0.3787,0.1118,0.0476,0.2342,-0.0448,0.5081,0.171,0.5871,0.0579,0.1877
Channel 06,0 back,-0.073,0.0605,-0.0628,-0.4152,0.039,-0.0273,-0.0529,-0.1222,-0.4713,0.0989,-0.2631,0.0117,-0.146,-0.0437,-0.1074,-0.1286,-0.597,-0.0562,0.133,-0.1142,-0.1994,-0.1314,-0.0954,-0.3509,-0.0437,-0.1177
,2 back,0.0984,0.1096,0.1469,0.0692,0.1292,-0.1487,0.1201,-0.0295,0.274,-0.0116,0.1322,0.1424,0.1372,0.0135,0.2523,-0.057,0.2784,0.1029,-0.0432,0.2118,-0.0565,-0.0522,0.0455,0.0988,-0.2195,0.0352
,3 back,0.0985,-0.0748,0.2636,0.311,-0.0566,-0.049,-0.185,-0.0685,0.0882,-0.0967,0.1657,-0.2625,0.1828,0.2249,0.1471,0.3133,0.3425,-0.199,0.0971,0.1866,-0.2553,0.0317,-0.2363,0.0845,-0.1588,0.0285
Channel 08,0 back,-0.0303,0.0171,0.0151,-0.4687,-0.0408,-0.0685,0.0043,-0.1918,-0.2796,0.139,-0.3426,0.0013,-0.0671,-0.0267,-0.0212,-0.0944,-0.3482,-0.1203,0.017,-0.0327,0.0012,-0.0985,-0.0745,-0.2741,-0.0213,-0.0154
,2 back,0.0686,0.002,0.1455,0.1005,0.0063,0.0729,0.17,0.0533,0.1975,-0.0985,0.0882,0.1648,0.114,0.0013,0.0651,-8.78E-04,0.2576,0.0996,0.0117,0.1441,-0.1384,-0.0799,-0.089,-0.0387,-0.1466,0.0835
,3 back,0.0811,-0.0049,0.1523,0.2272,0.0293,-0.0319,-0.306,-0.1315,0.0529,-0.194,0.2555,-0.2229,0.0541,0.3145,0.0273,0.1372,0.0931,-0.1378,0.0931,0.1671,-0.2946,-0.0808,0.2018,0.4453,-0.1262,-0.1094
Channel 11,0 back,-0.0983,-0.0037,-0.3746,-0.2074,0.3088,-0.0567,-0.267,-0.3043,-0.2142,0.042,-0.1913,0.121,-0.3601,-0.002,-0.0477,-0.1866,-0.4022,-0.0448,-0.0995,0.0029,0.0682,-0.4042,-0.0525,-0.3492,0.0768,-0.2963
,2 back,0.0876,0.1537,-0.1169,0.1533,0.0875,-0.0724,-0.1379,-0.0397,0.2173,-0.1218,0.3033,0.0236,0.1584,0.036,0.2204,-0.0995,0.0029,-0.1782,0.1216,0.0191,-0.1181,-0.0923,-0.1932,-0.0912,-0.3075,-0.0106
,3 back,0.0678,-0.2701,0.5708,0.0651,-0.1264,0.2039,0.3384,0.2477,-0.0674,0.1645,0.2192,-0.1679,0.4027,0.2092,0.0589,0.085,0.4508,0.3138,0.1524,0.2637,0.0673,0.5268,0.1468,0.4275,0.0373,0.201
Channel 12,0 back,-0.116,0.0055,-0.1855,-0.0793,-0.0627,-0.1323,-0.0309,-0.0919,-0.3574,0.1938,-0.3348,-0.0331,-0.2208,-0.064,-0.0519,-0.2878,-0.3762,-0.1387,-0.0559,0.0339,-0.2705,-0.3883,-0.0993,-0.0786,-0.1289,-0.0134
,2 back,-0.0206,0.1,0.0913,-0.2882,-0.066,0.2521,0.0045,-0.0642,0.1403,-0.0011,0.1258,0.0453,0.0715,-0.0569,0.1869,-0.0848,0.0648,0.0333,0.0377,0.1444,0.1987,-0.0155,-0.0669,0.004,-0.1806,0.0252
,3 back,0.0598,-0.0405,0.4924,0.272,0.1688,0.1551,-0.0719,0.3159,0.2137,-0.1635,0.1845,0.0604,0.3687,0.2923,0.1399,0.371,0.4695,0.0161,-0.0439,0.2455,0.2768,0.5287,0.2805,0.2688,0.2303,-0.0255
