Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,-2.7179,-3.1603,-5.8555,-3.0822,-5.0433,-4.3309,-3.9765,-1.8616,-3.039,-3.4049,-2.1457,-3.1371,-3.1436,-2.1038,-3.6462,-2.057,-2.6403,-0.8799,-5.7641,-1.768,-3.6433,-3.8062,-2.7846,-2.9037,-4.5953,-3.5327
,2 back,-4.1712,-2.3981,-2.2148,-3.7249,-4.9111,-2.1522,-4.5895,-2.3721,-3.1334,-7.1357,-1.5013,-3.0204,-2.7802,-2.5609,-0.9011,-3.1052,-2.3632,-5.8752,-1.8218,-3.6367,-1.8617,-2.0328,-4.117,-3.5291,-2.7223,-3.9674
,3 back,-2.4364,-3.0102,-2.7127,-3.6338,-4.134,-3.849,-3.8215,-1.6512,-2.8848,-2.0134,-1.7728,-2.4469,-3.0503,-1.6945,-1.6769,-2.7539,-1.4571,-4.2752,-1.162,-1.6273,-1.7688,-3.1161,-3.204,-3.2634,-5.5629,-2.5834
Channel 05,0 back,-3.2823,-2.7242,-3.1243,-3.4656,-2.6981,-2.5977,-2.6687,-2.5286,-3.0156,-4.4662,-2.238,-1.9546,-3.2485,-2.3062,-3.366,-2.6306,-4.2829,-3.4215,-4.7693,-2.2219,-2.8478,-2.9523,-2.7766,-2.6846,-2.5112,-2.7139
,2 back,-3.7169,-1.9447,-2.1867,-2.3839,-2.327,-2.7041,-2.2595,-2.0037,-2.2018,-2.4949,-1.7622,-3.5552,-1.9228,-2.0213,-2.6561,-2.7549,-2.3166,-2.6864,-2.2817,-2.5971,-1.9115,-1.8446,-2.4733,-2.7046,-2.4915,-2.2758
,3 back,-3.1605,-2.4518,-1.937,-2.0347,-2.5465,-1.7479,-2.1338,-2.371,-3.399,-1.75,-3.1081,-2.3336,-2.0088,-1.6993,-1.6414,-2.8334,-3.5004,-1.7967,-1.2234,-1.9665,-2.362,-1.557,-2.4339,-1.7106,-2.3484,-1.6753
Channel 06,0 back,-4.4727,-3.2176,-2.7017,-2.7767,-4.724,-2.9893,-2.2173,-2.4997,-2.1089,-4.1212,-3.73,-3.2993,-3.369,-3.5255,-4.2894,-2.6935,-3.539,-3.4729,-3.5006,-2.6303,-2.2912,-4.0471,-2.9199,-3.9882,-2.1667,-3.7547
,2 back,-3.3117,-3.1685,-3.8174,-2.4448,-3.037,-2.5959,-2.1626,-2.1496,-1.8528,-4.0336,-3.3823,-3.1081,-3.3269,-3.1567,-4.6298,-3.7098,-2.5448,-3.1098,-3.5102,-2.8485,-1.7443,-3.6185,-2.3191,-2.2547,-3.6379,-3.6227
,3 back,-3.1605,-3.9275,-1.8603,-1.4589,-4.0662,-1.6854,-2.2178,-1.5201,-2.4243,-3.1484,-3.7869,-4.4748,-3.1518,-3.0888,-7.1263,-3.3072,-3.026,-3.8496,-3.2691,-2.4524,-2.1732,-3.4544,-2.5437,-2.4566,-3.4276,-3.0137
Channel 08,0 back,-4.3432,-3.092,-3.5523,-3.0231,-4.411,-3.7494,-2.3776,-2.4318,-3.3792,-3.1384,-3.5226,-4.2316,-3.5042,-3.1846,-3.5346,-3.586,-4.7574,-3.1767,-3.5454,-3.2673,-3.6424,-3.5019,-3.2408,-3.1469,-2.7999,-3.8196
,2 back,-3.3881,-2.9467,-3.8159,-3.0843,-3.924,-3.3572,-2.3897,-2.2507,-2.8328,-3.885,-3.2044,-3.3137,-3.8445,-3.1074,-5.2016,-4.2942,-2.8084,-3.0133,-3.4001,-3.5513,-2.7806,-3.294,-2.525,-2.3795,-3.1342,-3.0147
,3 back,-3.4941,-3.4787,-3.1575,-2.0554,-2.8325,-2.5857,-2.6765,-1.7727,-3.6872,-4.3017,-3.3505,-3.7943,-3.2568,-2.1072,-3.5039,-3.0519,-3.773,-3.3198,-3.363,-3.2002,-3.2471,-3.5686,-2.5559,-1.9783,-3.6601,-3.622
Channel 11,0 back,-4.0845,-3.147,-2.7895,-2.5317,-2.0242,-2.4067,-3.1339,-2.6165,-2.6193,-3.5807,-3.2026,-1.993,-2.9604,-2.4788,-4.9271,-1.9558,-2.9506,-3.3307,-3.1917,-2.5033,-2.2866,-2.9584,-2.2647,-3.0142,-1.9317,-2.6502
,2 back,-3.5867,-1.9919,-2.3567,-3.5349,-2.0316,-2.3703,-2.6237,-1.8134,-2.4867,-2.9364,-2.0627,-3.1455,-1.9357,-2.2504,-3.0965,-3.1418,-2.2565,-2.496,-1.8152,-2.6094,-2.4703,-1.9815,-2.4874,-2.8018,-3.1923,-2.5818
,3 back,-2.7964,-2.9816,-2.1837,-1.6223,-1.8953,-2.1451,-2.0838,-1.5473,-2.5627,-1.6382,-3.5256,-2.4449,-2.5113,-1.7773,-3.1412,-3.5593,-2.1264,-2.2338,-1.6802,-1.7962,-2.711,-1.8336,-1.9118,-1.7512,-2.9882,-2.3501
Channel 12,0 back,-2.7316,-3.9952,-2.7912,-2.1993,-2.9469,-3.9739,-3.095,-2.5553,-4.095,-3.3159,-2.9895,-3.846,-3.725,-4.1634,-3.5896,-3.4361,-3.1377,-11.5634,-3.5925,-2.3677,-3.152,-3.0345,-3.5718,-3.4687,-3.2755,-3.4813
,2 back,-3.0084,-3.4744,-3.3215,-3.1472,-3.1576,-2.8523,-3.3473,-2.9844,-3.6873,-2.805,-2.3687,-3.5425,-3.7684,-3.5467,-3.0426,-3.2765,-2.6569,-3.2955,-3.4865,-4.1708,-2.3207,-2.2226,-2.8796,-3.3246,-3.9192,-3.5265
,3 back,-2.9119,-3.3346,-2.1182,-4.264,-2.8312,-2.9093,-2.7489,-2.9423,-3.0961,-3.0867,-2.5823,-2.3955,-3.14,-2.8267,-3.2143,-2.8608,-2.1886,-3.3326,-3.5237,-2.3593,-2.9498,-1.386,-2.2111,-2.9696,-3.9347,-3.2682
Channel 20,0 back,-3.4542,-3.5863,-1.6689,-2.9201,-3.2114,-2.7835,-2.4262,-3.2487,-2.6206,-4.5267,-3.4382,-3.382,-4.0883,-3.1989,-4.5665,-2.5095,-2.7303,-3.178,-9.0991,-2.6617,-2.3488,-4.4749,-2.5715,-2.7135,-2.2607,-3.4271
,2 back,-3.682,-3.3021,-2.9158,-3.0912,-3.1714,-2.1695,-2.3429,-2.7656,-2.0953,-3.252,-2.8676,-2.3523,-3.2795,-2.5299,-3.7916,-3.0984,-2.3064,-2.8666,-3.1705,-2.4233,-2.1077,-2.2892,-3.0262,-2.3934,-3.2097,-3.5692
,3 back,-3.4226,-3.7458,-2.1875,-2.5537,-2.2316,-1.6785,-2.3745,-2.3126,-2.3444,-3.4223,-2.849,-2.6672,-3.1159,-2.064,-3.3168,-2.1055,-2.639,-2.732,-2.4911,-2.3726,-2.5687,-3.3153,-1.789,-1.6343,-4.3831,-3.4254
Channel 24,0 back,-3.1532,-3.5409,-4.1734,-2.4042,-4.938,-2.157,-3.2043,-2.6341,-2.6275,-2.3926,-3.7076,-3.4447,-3.0087,-2.448,-3.3106,-2.5922,-3.0893,-1.7878,-9.0941,-1.8124,-2.3944,-3.7478,-4.0338,-4.1694,-3.6517,-2.5677
,2 back,-4.4545,-4.737,-1.3283,-3.893,-4.091,-3.6081,-2.9241,-4.7903,-4.1105,-2.9184,-3.4274,-3.5156,-2.5072,-2.5861,-1.7444,-2.3907,-2.4211,-3.9069,-2.1252,-3.2063,-1.4421,-3.1424,-3.996,-2.6083,-3.7953,-2.2138
,3 back,-1.9431,-3.4636,-3.7349,-4.6422,-4.9651,-3.3033,-3.4777,-2.2603,-4.6724,-1.3843,-4.0979,-1.8919,-2.4538,-1.3104,-2.0113,-2.9115,-1.9947,-4.7552,-2.3014,-1.4185,-1.913,-2.8694,-1.3571,-1.8835,-1.4679,-1.9777
Channel 25,0 back,-2.8737,-3.4501,-2.2501,-3.2341,-2.9613,-4.2993,-2.8799,-2.2192,-3.5471,-3.7575,-3.6755,-4.3968,-2.9411,-3.3216,-2.8932,-3.6259,-2.3665,-3.2203,-2.8485,-2.8391,-2.9274,-3.1076,-3.1035,-2.9535,-3.2537,-3.6712
,2 back,-2.9584,-9.8169,-2.7887,-3.2805,-3.0618,-3.053,-3.3817,-3.0829,-3.0437,-3.9873,-3.2435,-4.1313,-2.8039,-2.8713,-2.955,-3.2965,-2.36,-2.8254,-3.0923,-2.7235,-1.8556,-2.824,-2.5455,-2.9257,-3.29,-3.415
,3 back,-3.8644,-4.2232,-2.093,-3.072,-2.9116,-3.103,-2.3895,-2.6305,-3.1364,-2.2378,-3.3849,-2.6633,-2.9052,-1.7174,-2.6893,-3.5745,-2.4479,-2.5811,-3.4133,-2.636,-2.6339,-1.8742,-2.0663,-2.8616,-3.2025,-2.8345
