Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,-0.57333,-0.099686,-0.89517,-0.82173,-0.43333,-1.5959,-1.248,0.61527,-0.46151,-0.46514,0.52321,-0.24649,-0.61055,-0.61055,-2.3994,-0.6646,0.24715,-0.16769,-1.8504,-0.30502,-0.68061,-0.99876,-0.35599,-0.69886,-2.1642,0.60885
,2 back,-0.65299,-0.15331,0.3179,-0.92818,-1.1876,-0.63375,-0.18438,0.61149,-0.39927,-1.204,0.62912,-0.37475,-0.98234,-0.98234,-0.18941,-0.25915,0.03988,-1.5801,-0.34315,-7.75E-01,0.09528,0.37419,-1.8782,-1.0839,-0.41068,1.178
,3 back,-0.6604,-0.12285,-0.13766,-1.5951,-0.55105,-1.2338,-0.44429,0.36145,-0.95451,-1.2729,0.33601,-0.15696,-1.3053,-1.3053,-0.40331,-0.53616,0.18867,-2.4055,0.066674,-0.089953,0.069839,-0.40978,-1.6756,-1.578,-1.7567,2.0718
Channel 05,0 back,-0.86149,-0.24511,0.20434,-0.27088,-0.29712,0.41317,-0.041471,0.36978,-0.59277,-0.96642,0.088062,0.16439,0.10244,0.10244,-0.98242,0.066464,-0.32029,0.40675,-0.49752,-0.49265,0.48771,-0.045629,-0.055678,0.13605,-0.24201,0.011995
,2 back,-1.403,-0.16008,0.15313,0.62154,0.00050442,0.89196,-0.14311,-0.15403,-0.27665,1.22E-01,0.39802,-0.43856,0.57639,0.57639,-0.026978,0.30777,-0.051425,0.94663,0.59044,-0.082434,0.40886,0.1332,-0.22676,-0.04203,-0.045433,0.11384
,3 back,-1.7664,0.12428,0.26317,0.71454,0.14496,0.39975,0.44879,0.11405,-0.78251,0.27047,-0.83669,1.0395,0.61338,0.61338,-0.18242,-0.55623,0.20014,0.11842,2.0266,0.92515,-0.3403,0.24203,0.14364,0.57797,-0.39361,0.41266
Channel 06,0 back,-0.4884,0.042755,-0.46158,0.042449,-0.61529,0.38857,0.20044,0.20317,0.33247,-0.80018,0.017382,0.16779,0.047178,0.047178,-0.70633,-0.075322,-0.1007,-0.64009,-0.061502,0.0086029,0.3114,0.027799,-0.15125,-1.0674,-0.13724,-0.10909
,2 back,-0.12768,-0.0037196,-0.63842,0.71016,-0.19626,0.83326,0.78464,-0.043567,0.32794,-0.39069,0.11816,0.073251,-0.0011941,-0.0011941,-0.77875,0.24408,-0.57754,-0.68767,0.6853,0.81891,0.67288,0.10127,-0.21581,0.078033,-0.77749,-0.0119
,3 back,-0.043363,-0.017808,0.83126,1.18,-0.89558,0.29518,0.61249,0.49154,-0.38606,-0.20647,-0.050993,0.10771,-0.011537,-0.011537,-0.054353,-0.52984,0.20552,-0.83298,0.54389,0.49096,0.40366,0.14563,-0.36037,-1.01,-0.5979,0.10605
Channel 08,0 back,-0.015085,0.23176,-0.50816,0.12343,-1.3085,0.22619,0.33185,0.21628,-0.0043447,-0.058924,0.01633,-0.082971,0.041761,0.041761,-0.084944,-0.55575,-0.40994,-1.1952,0.0034315,-0.15282,0.065715,-0.12741,-0.19917,-0.18879,-0.054344,0.069384
,2 back,-0.015364,0.20956,-0.273,0.59967,-1.4943,0.14891,0.20027,0.27683,0.039441,0.013286,0.12731,-0.029202,-0.014227,-0.014227,-0.006865,-1.08E+00,-0.54623,-1.1467,0.092324,0.18962,0.098512,0.19871,0.12383,-0.018527,-0.58896,0.13679
,3 back,0.039743,0.16317,0.10851,0.72272,-0.4836,0.40709,0.25089,-0.057303,-0.24682,-0.0073609,0.078275,0.049705,0.047866,0.047866,0.033845,0.26342,-0.12976,-1.1258,0.16381,0.40179,0.10534,-0.24291,-0.2666,-0.15295,-0.086656,-0.016078
Channel 11,0 back,-0.6137,-0.32278,0.36125,0.078094,-0.13413,0.23524,-0.46602,0.6407,0.30187,-0.64821,-0.11156,0.41078,-0.11769,-0.11769,-0.51797,0.18046,-0.11476,-0.24895,-0.11286,-0.90407,0.02997,-0.1171,-0.14501,0.14632,0.23886,-0.10018
,2 back,-0.81285,-0.08062,0.3815,0.11859,0.43315,0.53712,-0.0057927,0.27261,0.65109,-0.10152,-0.022895,-0.18082,-0.2597,-0.2597,-0.36144,-0.68938,0.10351,0.040469,0.043872,0.27052,0.57352,0.31326,0.37288,0.22505,-0.41223,-0.13905
,3 back,-1.0263,-0.25014,0.41347,0.99089,0.41344,0.5635,0.67706,0.65292,0.068256,0.6261,-0.67969,0.79398,-0.16159,-0.16159,-0.11953,-0.8743,0.35745,-0.47478,1.4929,0.78911,0.80177,-0.076928,-0.26855,0.95299,-0.15543,0.057753
Channel 12,0 back,1.1757,0.076885,0.21397,-0.38604,-0.095283,-0.016586,-0.40189,0.29899,0.035854,-0.40525,0.92233,-0.60185,-0.054049,-0.054049,-0.25882,0.21689,0.093589,-0.38029,0.16828,0.25541,-0.14207,0.2991,0.15317,-0.021725,0.11822,0.18679
,2 back,-0.097467,0.11335,0.16832,-0.55561,0.45147,0.007774,-0.067027,0.5124,0.054014,1.2155,0.12028,-0.20696,-0.046402,-0.046402,-0.039791,0.06954,0.51269,-0.051993,0.38315,-0.36439,0.50852,0.49985,-0.0093302,0.06695,0.035562,0.25856
,3 back,0.099414,0.072548,0.54522,-1.6611,0.15267,-0.089212,0.83051,0.65843,0.08045,0.11169,0.030991,-0.16932,-0.076231,-0.076231,-0.13401,0.025986,0.45649,0.17914,0.074827,1.2761,0.40269,0.81704,-0.017339,-0.18197,-0.19946,0.11512
Channel 20,0 back,0.031701,0.032497,0.35234,0.37623,-0.8192,0.53403,0.47881,0.13114,-0.22962,-1.277,0.15476,-0.14677,0.0026837,0.0026837,-0.36341,0.60066,0.28927,-0.36708,-2.0179,-0.25758,0.22501,0.40337,-0.24147,0.16934,-0.17849,0.022011
,2 back,-0.011151,0.032045,0.32522,0.81294,-1.8924,0.29526,0.36266,0.17347,0.36187,-0.17781,0.32623,0.40791,0.025831,0.025831,-0.19659,0.29767,-0.60644,-1.0439,0.56952,0.23614,0.28106,0.30379,0.33481,0.36388,-0.026125,0.047647
,3 back,-0.09907,-0.0059378,0.93506,0.020647,-1.0372,0.37444,0.0088969,0.25215,-0.044665,0.60009,-0.097387,0.36353,0.028744,0.028744,-0.02676,0.59263,0.50218,-0.92141,0.74428,0.62895,0.35673,0.21341,-0.13923,0.1514,-0.61416,0.036511
Channel 24,0 back,-0.6558,0.034979,-0.95485,-0.96627,-0.6657,0.029727,0.2172,0.098935,0.16741,-0.031861,0.19981,-1.1056,-0.15643,-0.15643,-1.7821,-0.11847,0.0016002,0.55387,-1.6999,0.098521,-0.25923,-0.80439,-0.83657,-1.0275,-0.93636,-0.039292
,2 back,-0.33897,0.010269,0.68639,-1.0996,-0.93253,-0.63197,0.81373,0.3463,-0.72911,-0.08355,0.23077,-0.9445,-0.71706,-0.71706,-0.16493,-0.08205,-0.042838,-1.0479,0.22377,-0.32653,0.84993,-1.1331,-0.70321,0.010373,-1.3304,0.053517
,3 back,-0.5826,0.34143,-0.43722,-1.8346,-0.75696,0.18973,0.60365,0.21571,-1.4534,0.01145,-0.03659,0.11333,-0.19719,-0.19719,-0.13203,-0.50152,-0.15283,-1.9314,0.47254,0.30326,1.1144,-0.97096,-0.12896,0.16122,-0.36457,0.64257
Channel 25,0 back,0.54654,0.079405,-0.036884,0.33199,-0.004019,0.30824,0.26101,-0.086911,0.032686,-0.34302,0.058187,-1.0398,0.0030782,0.0030782,-0.12955,0.043064,0.2415,0.12401,-0.00097033,-0.22405,0.4919,0.20438,0.11854,-0.0059708,0.57638,-0.20259
,2 back,-0.21522,-0.099926,0.49493,0.48307,0.27553,0.13715,0.27351,0.48678,0.1063,-0.047517,0.21806,-0.38726,0.044784,0.044784,-0.21493,0.06763,0.30065,0.22198,0.41097,0.32577,0.96223,0.63496,0.19665,0.26988,0.23009,-0.22638
,3 back,-0.039645,0.047459,0.67788,0.19894,-0.070055,0.047725,0.24566,0.60322,0.038135,0.53315,-0.074749,0.19358,-0.10572,-0.10572,0.1795,0.031154,0.76125,0.65993,0.60162,0.4818,0.6032,0.33359,0.37961,-0.24684,0.040182,0.10207
