Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,0.061035,-0.055452,0.084969,0.13328,-0.01365,-0.035078,0.12882,0.08522,0.10288,-0.0070179,0.069349,0.075148,-0.032947,-0.048089,0.090797,0.13728,0.049233,-0.033621,-0.029445,-0.0093644,0.075161,0.092018,0.14791,0.059764,-0.12168,0.061742
,2 back,0.11681,-0.02711,0.016929,0.038739,0.079223,0.033828,0.021569,-0.010563,0.052924,0.0039415,-0.0099386,0.027061,0.063058,-0.051038,0.058203,-0.018782,0.0042288,-0.05014,-0.045073,-7.86E-02,-0.089292,-0.078195,0.12221,-0.011778,0.047335,-0.012198
,3 back,0.0066499,0.069708,-0.2321,-0.17155,0.080096,-0.16667,-0.14841,-0.14028,0.058184,-0.010984,-0.034683,0.013219,-0.034106,-0.035586,0.054401,-0.17822,-0.09577,-0.11886,-0.033462,-0.031109,-0.13839,-0.011123,-0.115,0.045715,-0.10352,0.013471
Channel 05,0 back,0.015367,-0.12156,0.099485,-0.04696,0.078151,0.031665,0.10699,0.12867,0.029671,-0.04044,0.048326,0.1439,0.17526,-0.14529,0.051016,-0.018293,0.064049,-0.11526,0.032966,-0.11006,0.0078237,0.065264,0.11812,-0.0083612,0.070416,0.042419
,2 back,0.13379,0.059116,0.077227,-0.08763,0.070872,0.054008,-0.072826,-0.054495,0.039124,1.10E-02,0.06432,-0.011765,0.014944,-0.063303,0.16862,0.0070656,-0.04784,0.053736,-0.089928,-0.069337,-0.10059,-0.077879,0.029554,-0.060676,-0.014371,-0.074562
,3 back,0.14963,0.080251,-0.18524,-0.14959,0.14656,-0.095198,-0.017111,-0.064964,-0.061217,0.016589,-0.015622,-0.13568,-0.023286,0.01155,0.021032,-0.001084,-0.053687,-0.0031194,-0.12659,-0.13294,-0.0036233,-0.038692,-0.070307,-0.13185,-0.026851,-0.053316
Channel 06,0 back,-0.046671,-0.033812,0.026515,0.010744,0.10257,0.094344,0.023648,0.23571,0.050029,0.013232,0.038363,0.11066,-0.010327,-0.12396,0.0094775,-0.048118,-0.0018729,0.080591,-0.022672,-0.12108,0.15839,0.055228,0.1834,0.11037,0.16693,0.10167
,2 back,0.052603,0.053284,0.038902,-0.14431,-0.00054412,0.04504,-0.10493,0.082558,0.042849,-0.061153,0.042559,-0.02729,0.051302,-0.04978,0.11579,0.030948,-0.097684,0.094938,-0.083365,-0.10686,-0.022868,0.035425,0.068938,0.069638,0.030293,-0.05936
,3 back,0.041959,0.027561,-0.10321,-0.086576,0.015732,-0.066747,0.021826,0.031392,0.12617,0.15059,-0.005085,-0.034419,0.032793,0.033718,-0.0056973,0.075723,0.015882,0.082072,-0.042647,-0.060278,0.070303,0.018899,0.05899,0.082051,-0.042156,-0.029823
Channel 08,0 back,-0.053509,-0.0051343,0.013784,0.09495,0.13555,0.040767,0.065435,0.17931,0.02179,0.062103,0.03664,0.09117,-0.0042947,-0.11969,0.020388,0.0018796,0.015854,0.084989,0.0080265,-0.058655,0.031049,0.12871,0.10924,-0.039836,0.20877,0.10581
,2 back,0.038577,0.025964,-0.00037313,-0.11934,0.020511,0.012251,-0.033028,0.018015,0.057875,-0.016164,0.026369,0.010363,0.053966,-0.070796,0.021626,4.64E-02,-0.06532,0.12385,-0.035481,-0.02944,-0.029044,0.099663,-0.022146,0.03092,0.061508,-0.070366
,3 back,0.027843,0.0038039,-0.044455,-0.011188,0.032156,-0.0157,0.070257,0.088659,0.065329,0.049454,-0.0073278,-0.022419,0.026598,0.064929,0.0084871,0.14577,0.027792,0.081832,-0.045133,-0.095024,0.042522,0.050386,-0.026712,-0.1213,0.050054,0.015997
Channel 11,0 back,0.074292,-0.073625,0.12111,-0.032927,0.19346,0.096304,0.028934,0.15221,0.065873,0.01774,0.0021104,0.1439,0.106,-0.15475,0.046034,0.10173,0.016171,-0.055895,0.1009,-0.055259,-0.073451,0.15012,0.12469,0.019709,0.12081,0.16701
,2 back,0.10579,0.12753,0.060557,-0.1203,-0.041005,0.079427,-0.10911,-0.034392,0.067196,-0.1391,0.031616,0.03455,0.10067,-0.072946,0.12539,0.12417,-0.068308,0.1525,-0.019162,-0.13882,-0.10516,0.025632,0.084225,-0.079302,0.06172,-0.11417
,3 back,0.065027,0.057464,-0.14899,-0.096579,-0.11708,-0.10229,-0.035002,-0.13825,-0.099122,0.010253,0.00088715,-0.1428,-0.12915,0.05356,0.0089179,0.14315,-0.068024,0.0044404,-0.11757,-0.078947,-0.11531,-0.097954,0.050018,-0.14599,-0.011152,-0.092886
Channel 12,0 back,-0.077226,-0.019139,-0.036716,0.089842,0.039028,0.0088592,0.068291,0.025317,0.051724,-0.007131,0.025158,0.038195,0.019166,-0.096482,0.017894,0.012896,0.021717,0.059098,-0.03175,-0.064396,0.0446,-0.033386,0.035923,-0.12683,0.027963,0.026793
,2 back,-0.031905,0.035069,0.025947,-0.02342,-0.0597,-0.0071698,-0.095072,-0.10778,0.027717,0.046621,0.060422,0.053777,0.054425,-0.062346,0.026905,0.0082268,-0.11979,0.073743,-0.13092,-0.09145,-0.1076,-0.089714,-0.069352,-0.024347,0.007462,-0.0089907
,3 back,0.094383,0.02281,-0.14245,-0.13137,0.014537,-0.03412,-0.017496,-0.10147,-0.0013227,0.018786,-0.0028451,-0.044233,-0.018475,0.050176,-0.015,-0.045769,-0.048849,-0.039416,0.0098003,-0.12728,-0.09479,-0.1342,-0.012737,0.030493,-0.065248,-0.0026184
Channel 20,0 back,-0.055374,-0.034558,-0.071417,-0.023459,0.16246,-0.0040689,-0.027522,0.18279,0.063903,0.014576,0.028423,-0.05178,0.0083576,-0.16543,0.061257,0.021005,0.019501,-0.025808,-0.051627,-0.13606,0.077406,0.01186,0.16072,-0.10508,0.13091,0.034489
,2 back,0.041539,0.051876,-0.030821,-0.21943,0.0092054,-0.021365,-0.11518,0.028638,0.048215,-0.10295,0.042785,-0.041551,0.053503,-0.059559,0.078135,0.0017696,-0.067332,0.11441,-0.094408,-0.077796,-0.069875,0.0064839,-0.01444,-0.060903,0.032283,-0.052551
,3 back,0.078142,0.0020471,-0.11763,0.050354,0.038327,-0.12198,0.052612,-0.058651,0.074465,0.1412,-0.0071341,-0.10622,-0.012103,0.042999,-0.017488,0.0055462,-0.097644,0.021594,-0.086597,-0.076619,0.035531,-0.13691,0.011521,-0.08181,-0.08918,-0.013868
Channel 24,0 back,0.15052,-0.036265,0.081256,0.021529,-0.13958,-0.066596,0.052349,0.22159,0.024653,-0.013776,0.0094763,0.18252,0.0058067,-0.10781,0.023025,0.13304,0.090049,-0.014764,0.075321,-0.13274,0.20933,-0.026647,0.0020446,-0.013452,-0.11705,0.27896
,2 back,0.072992,0.012728,0.0075991,0.12234,0.049449,0.025341,-0.10424,0.036958,0.065371,-0.0879,-0.0021103,-0.056545,0.1096,-0.082602,0.060989,0.11405,0.017425,0.039253,-0.019178,-0.080343,-0.0073734,-0.027497,0.004641,-0.084803,0.0014177,-0.011479
,3 back,0.039546,-0.037177,-0.20429,-0.17706,0.070422,-0.17882,0.032823,0.04041,0.071499,-0.060237,-0.072739,-0.033833,-0.021166,-0.014771,-0.063808,0.055286,-0.18121,-0.16646,-0.035528,-0.083562,0.018906,-0.0014506,-0.0004172,-0.11297,-0.073301,-0.032456
