Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,0.0906,0.2596,0.5125,0.3067,0.472,0.4279,0.3045,0.1718,0.1914,0.2468,0.1778,0.3899,0.2258,0.1391,0.2865,0.3361,0.2438,0.1469,0.6019,0.2339,0.5277,0.4437,0.2914,0.3089,0.4572,0.2806
,2 back,0.4868,0.1562,0.3237,0.6599,0.5569,0.2728,0.4047,0.2028,0.1965,0.538,0.1711,0.4711,0.3441,0.0935,0.1253,0.4841,0.1502,0.6007,0.2106,3.04E-01,0.2144,0.1775,0.5342,0.1918,0.2972,0.436
,3 back,0.171,0.304,0.2933,0.3942,0.3681,0.3174,0.3698,0.0639,0.3362,0.2601,0.1136,0.2109,0.2736,0.0876,0.129,0.2338,0.2065,0.5493,0.179,0.1915,0.1506,0.2639,0.3013,0.446,0.6034,0.3845
Channel 05,0 back,0.2656,0.2988,0.221,0.162,0.252,0.309,0.1884,0.3678,0.259,0.3522,0.099,0.1901,0.1786,0.1498,0.3612,0.1634,0.2688,0.2403,0.4934,0.2324,0.5521,0.2723,0.2284,0.1559,0.0997,0.3037
,2 back,0.4935,0.2047,0.1694,0.1854,0.2564,0.2677,0.254,0.1248,0.3154,2.06E-01,0.1466,0.3002,0.3171,0.1269,0.3532,0.324,0.1623,0.3466,0.1188,0.279,0.1604,0.1343,0.1859,0.1557,0.1981,0.1464
,3 back,0.092,0.4044,0.1032,0.1666,0.2229,0.1608,0.1277,0.2149,0.4257,0.1602,0.1322,0.2586,0.2926,0.1333,0.223,0.2196,0.1872,0.1337,0.0677,0.1486,0.2329,0.154,0.2933,0.1312,0.1621,0.1581
Channel 06,0 back,0.1543,0.0922,0.2142,0.2421,0.2919,0.1888,0.1809,0.3006,0.1195,0.3614,0.0831,0.1771,0.0434,0.1167,0.3434,0.2021,0.3394,0.1874,0.1837,0.1786,0.3303,0.0709,0.5194,0.3305,0.1591,0.1113
,2 back,0.1575,0.0448,0.2223,0.2174,0.2124,0.2724,0.1623,0.3041,0.3374,0.1837,0.1099,0.0277,0.0263,0.0647,0.1217,0.3572,0.2953,0.1302,0.0737,0.1708,0.1994,0.0663,0.3649,0.3146,0.1471,0.0923
,3 back,0.0605,0.0682,0.0904,0.1715,0.2682,0.0718,0.1382,0.1068,0.1841,0.1981,0.095,0.0936,0.0386,0.0903,0.1126,0.2552,0.1931,0.0602,0.1126,0.1431,0.1196,0.0865,0.178,0.1565,0.2369,0.0537
Channel 08,0 back,0.0413,0.0218,0.2002,0.2158,0.2663,0.1619,0.2206,0.1565,0.0528,0.0679,0.0612,0.182,0.016,0.2264,0.0757,0.4187,0.4079,0.2199,0.042,0.0928,0.3005,0.0919,0.3437,0.2231,0.2039,0.1432
,2 back,0.0406,0.0328,0.0866,0.3032,0.3735,0.1211,0.1679,0.3461,0.0733,0.1096,0.0717,0.0655,0.0243,0.1317,0.0451,2.73E-01,0.2785,0.2186,0.0303,0.0853,0.0647,0.1615,0.2473,0.158,0.1645,0.158
,3 back,0.0379,0.0231,0.0575,0.122,0.2237,0.0829,0.126,0.1629,0.0895,0.0547,0.0422,0.0828,0.0293,0.118,0.0308,0.1352,0.1412,0.0383,0.0226,0.1095,0.0929,0.0463,0.2844,0.1086,0.2192,0.096
Channel 11,0 back,0.2405,0.3092,0.2564,0.2106,0.1177,0.2512,0.2345,0.2752,0.1754,0.2655,0.2188,0.1909,0.2094,0.1867,0.2919,0.2156,0.3459,0.2212,0.4517,0.2082,0.1655,0.2791,0.2168,0.1762,0.1662,0.1181
,2 back,0.3423,0.2185,0.1477,0.3635,0.1956,0.2587,0.2309,0.2137,0.2927,0.2138,0.1181,0.2739,0.1973,0.0822,0.0936,0.225,0.1886,0.1921,0.0377,0.1164,0.3287,0.1751,0.2464,0.1931,0.2232,0.2082
,3 back,0.1446,0.2912,0.1864,0.2478,0.1878,0.14,0.0973,0.2437,0.2279,0.2155,0.1134,0.2094,0.3617,0.1569,0.1145,0.1408,0.2221,0.1017,0.1064,0.2188,0.186,0.1471,0.2964,0.0959,0.2739,0.2211
Channel 12,0 back,0.2183,0.0474,0.1772,0.2614,0.1184,0.1867,0.1422,0.1352,0.0551,0.1536,0.1968,0.3786,0.0241,0.1511,0.068,0.0623,0.2064,0.1076,0.1326,0.0716,0.1734,0.1196,0.2834,0.1661,0.0868,0.0609
,2 back,0.1478,0.039,0.1082,0.3323,0.1886,0.0978,0.1967,0.085,0.0465,0.3707,0.1061,0.152,0.0856,0.1064,0.028,0.1169,0.2087,0.043,0.0781,0.234,0.2116,0.1388,0.1922,0.1464,0.1042,0.0302
,3 back,0.123,0.0366,0.0837,0.3858,0.1699,0.0727,0.0667,0.1075,0.0256,0.1874,0.0259,0.0793,0.0181,0.0917,0.0448,0.0563,0.098,0.0778,0.1322,0.0738,0.1729,0.1083,0.2412,0.1431,0.0609,0.0382
Channel 20,0 back,0.1158,0.0934,0.097,0.2754,0.3596,0.2029,0.134,0.16,0.0703,0.3822,0.0744,0.1697,0.0366,0.256,0.2648,0.3295,0.2832,0.186,0.361,0.1622,0.271,0.2668,0.2515,0.1749,0.1552,0.0931
,2 back,0.2644,0.0721,0.1218,0.2103,0.4619,0.2346,0.1735,0.2344,0.194,0.2525,0.1309,0.1781,0.0238,0.1065,0.0683,0.1892,0.1799,0.1238,0.0648,0.1596,0.1274,0.1999,0.2335,0.1874,0.1537,0.0998
,3 back,0.0613,0.0982,0.0612,0.1516,0.3047,0.0725,0.1381,0.2014,0.0984,0.2411,0.0475,0.0516,0.0299,0.1513,0.0423,0.1699,0.1552,0.0735,0.0875,0.1842,0.159,0.1112,0.1675,0.1081,0.3586,0.0565
Channel 24,0 back,0.3743,0.1705,0.5577,0.3783,0.4798,0.2002,0.2741,0.214,0.1517,0.1869,0.1486,0.3437,0.1678,0.1095,0.2336,0.3137,0.2418,0.3334,0.5197,0.1669,0.2393,0.3254,0.3945,0.2848,0.4028,0.3438
,2 back,0.3374,0.1737,0.2615,0.3419,0.4993,0.3228,0.2878,0.3886,0.1874,0.3164,0.185,0.5328,0.1983,0.1464,0.111,0.2231,0.2355,0.5376,0.0821,0.3162,0.2814,0.3928,0.4321,0.2575,0.363,0.1947
,3 back,0.1943,0.128,0.2767,0.6094,0.4325,0.192,0.3475,0.08,0.5425,0.1493,0.2065,0.1959,0.2357,0.0964,0.0828,0.1219,0.1404,0.5814,0.0982,0.0971,0.1068,0.2865,0.1791,0.1836,0.3214,0.0931
Channel 25,0 back,0.1303,0.0627,0.1563,0.125,0.1384,0.1281,0.1525,0.1063,0.0349,0.1194,0.0465,0.2526,0.0989,0.1926,0.1453,0.0459,0.2509,0.2279,0.0617,0.1225,0.1391,0.1957,0.2972,0.2253,0.189,0.2443
,2 back,0.1433,0.0424,0.0883,0.0748,0.2138,0.1186,0.186,0.1927,0.0384,0.2585,0.0824,0.1898,0.1394,0.1168,0.0623,0.0483,0.2257,0.1042,0.0774,0.1429,0.2397,0.192,0.2045,0.2463,0.081,0.2175
,3 back,0.2349,0.0356,0.0873,0.0635,0.1989,0.0757,0.0878,0.0952,0.0381,0.086,0.0624,0.0942,0.0677,0.1143,0.1719,0.0379,0.1566,0.1611,0.1047,0.1157,0.08,0.0825,0.265,0.2335,0.0588,0.0843
