,0,1,2,3,4,5,6,7,8
0,1.8107,1.9031,3.3734,3.6651,2.8126,3.8909,3.201,1.2812,3.5264
1,4.0845,1.8953,3.8293,3.6099,4.2905,2.8927,3.8199,8.2063,3.0308
2,2.0639,1.6965,3.5304,4.0174,2.2691,3.1425,3.2664,4.5184,3.6845
0,2.7711,2.1353,3.735,4.6305,3.0555,3.8772,3.9799,3.5281,3.9157
1,2.4372,2.1332,3.5826,4.2832,2.1381,3.7952,3.6416,3.8166,4.6504
2,2.6797,2.3595,3.4007,4.1636,1.7837,4.1733,3.8966,4.2008,3.5217
0,1.9786,2.2644,2.0666,3.3173,2.7983,3.0075,2.3327,2.0053,1.8786
1,2.0641,2.2666,3.3862,3.37,2.2683,3.2688,3.3992,2.0868,3.4889
2,2.8661,4.1071,3.3709,3.1659,3.5375,3.8023,3.9317,3.3819,3.7401
0,2.5128,2.5038,2.6829,2.5736,2.8157,1.9333,3.6579,1.9689,6.5653
1,2.4494,3.5155,3.7165,3.3439,3.8215,2.8506,3.6234,1.4693,4.7402
2,2.4062,3.4775,3.4344,2.9585,5.0425,2.709,3.7722,2.1641,4.3926
0,2.2891,2.4353,3.0715,2.7548,2.4572,4.0128,3.4749,2.2004,3.887
1,2.2335,3.0336,2.5838,2.5691,2.5106,4.1178,1.2352,1.9734,4.0672
2,1.9061,2.4374,3.0779,2.2798,2.2523,4.563,2.0929,2.5436,3.1946
0,1.9029,3.7064,2.7323,3.3248,3.1643,3.483,2.9024,2.3894,4.2638
1,1.6533,3.3243,3.6861,7.687,3.7524,3.2307,3.07,2.4692,3.3787
2,3.1217,3.0673,3.4023,3.3921,3.0903,2.9346,2.6294,4.726,2.9918
0,2.1251,2.6152,2.4977,3.2167,1.8631,3.2702,2.6104,2.6677,2.4509
1,2.6926,2.7415,2.805,2.6957,2.4584,3.4036,3.2241,4.671,3.6655
2,2.5351,3.4285,2.2564,1.8995,3.8807,4.2418,2.3419,3.491,2.9613
0,4.8549,2.9765,3.0603,2.6302,3.7964,2.9323,3.7441,3.6687,2.4435
1,5.0693,2.4594,2.4076,2.8883,2.5432,6.6482,3.1078,3.9945,4.421
2,3.918,2.7871,2.0813,1.8731,2.9065,4.5763,2.5401,2.9971,3.6438
0,1.626,2.1219,1.6847,2.9549,2.3406,3.7029,1.7857,2.5832,3.0385
1,3.1788,2.6087,2.9294,3.7446,4.2396,3.685,2.9663,3.4053,3.5893
2,1.4724,1.6553,5.1709,3.4127,2.4661,3.9081,3.7294,2.562,3.5065
0,2.2328,3.2757,2.7711,3.4342,2.2028,2.6485,2.5613,2.369,2.8307
1,2.3112,2.53,2.4114,3.366,2.3188,5.8993,2.5801,2.3059,2.7618
2,1.4997,2.9134,2.9185,3.3895,2.7428,2.9038,3.1986,1.7077,3.336
0,3.5627,1.7481,3.6448,3.3441,1.8765,4.4813,3.4248,4.3172,3.16
1,2.8581,2.9811,3.9909,4.386,2.5748,3.0527,3.7698,4.1716,4.2697
2,2.2439,2.3564,4.0145,3.5747,2.4532,3.1182,3.7614,4.9895,4.5187
0,2.8623,1.7476,4.2801,3.8459,2.9052,3.2981,2.9774,2.5576,2.9028
1,2.775,2.6827,3.1905,3.4098,3.2945,3.2091,3.4147,2.3562,3.401
2,1.9092,3.4284,3.6895,3.2623,3.5498,2.2316,3.7705,2.0297,3.2419
0,1.7325,3.444,2.9499,3.6146,2.6209,3.0972,5.3419,1.959,2.7002
1,1.6842,2.7452,3.7581,3.888,2.1292,3.5733,3.7606,4.2574,3.2824
2,2.5764,3.2838,4.0541,3.9373,3.9524,3.1745,3.7817,2.454,3.6226
0,3.0919,2.0712,3.4943,2.9693,2.1556,3.4272,3.0318,2.5653,3.0016
1,2.5611,2.0255,3.3668,2.7396,2.1797,3.2422,2.6777,2.1541,2.7599
2,2.9773,2.4684,3.7775,2.8666,2.6458,3.3848,2.9708,2.5895,2.7314
0,1.18,1.7352,2.4375,3.4893,3.7599,3.175,4.6656,1.1275,2.5228
1,1.3214,3.8273,2.9749,3.9891,3.1771,3.4893,3.2045,1.7411,3.105
2,1.4036,2.2313,4.8561,3.9928,3.0587,3.3737,4.022,2.2924,3.9472
0,2.0317,2.2902,2.1955,2.3971,2.1253,7.5317,2.9558,2.2778,3.6742
1,2.1542,3.2279,3.685,2.4957,1.7203,3.6757,2.9164,2.1109,4.2906
2,2.1312,3.0038,2.9489,14.4778,2.68,3.8344,4.2325,2.1364,4.3769
0,1.3811,2.488,2.5954,3.039,2.4349,2.833,2.5461,1.5775,2.5653
1,2.738,2.3276,2.2278,2.7016,2.4333,3.7393,2.3338,2.486,3.4072
2,3.4799,3.4438,3.2603,3.2355,3.8404,3.6466,3.4259,2.8452,4.8641
0,1.5964,3.6673,8.931,7.2775,2.457,3.5334,3.1543,2.4054,4.047
1,1.774,4.1631,4.3411,5.4594,2.5057,3.7636,3.4003,2.1013,3.5664
2,1.1217,2.9291,2.9998,2.2313,2.5514,4.4486,2.2183,2.2454,4.5948
0,2.4046,3.4923,3.987,3.5341,3.1935,3.8542,6.3454,3.5316,3.1299
1,2.0554,2.7509,3.967,3.6379,2.0851,4.1484,3.9703,2.6965,3.8584
2,2.1397,3.6797,4.8655,3.6065,3.228,4.1977,4.0552,3.6341,5.3377
0,1.8243,1.7292,2.6794,3.1001,1.5462,2.9759,2.4024,1.8216,2.4019
1,2.3648,2.8478,3.5239,4.3257,2.8073,3.3532,3.0348,3.0572,3.4321
2,2.2127,2.9642,3.532,4.3384,3.0063,4.0532,3.196,2.9948,3.4657
0,1.9682,2.4663,2.1363,3.353,2.12,2.6082,2.5732,1.752,3.2138
1,2.3277,2.8656,2.9328,2.32,2.9325,3.2953,2.8335,3.1746,3.4203
2,2.2327,1.9535,1.9772,2.562,3.6011,3.5552,2.3541,2.4721,3.4676
0,1.7044,2.2307,3.5159,2.6986,1.7617,2.7204,2.9867,1.6694,3.4869
1,2.3821,2.0784,4.4992,4.0573,2.8042,3.1488,3.0904,1.9543,4.3492
2,2.5349,2.8342,8.5172,3.4907,2.5383,3.0594,2.9734,1.7397,2.929
0,1.982,3.0417,2.2908,2.578,2.6426,3.0408,2.4087,2.4646,2.5402
1,1.7974,2.6915,1.9541,2.829,3.149,3.0862,3.1438,1.8724,3.1754
2,1.3819,3.1089,1.548,2.4995,2.0895,2.9149,2.3845,2.037,3.274
0,1.2565,3.1422,1.9005,2.2385,2.4586,3.3409,2.3761,1.7293,2.4338
1,1.504,2.3933,2.7251,2.1628,2.3041,3.1053,2.8821,2.1358,3.3593
2,1.7916,3.757,1.7719,2.7351,3.8341,2.9044,2.8534,2.9988,2.3208
0,2.6627,2.2844,2.2354,2.1787,2.931,3.8092,3.0325,3.0064,4.437
1,2.2694,1.9758,1.8775,2.2793,2.5264,3.224,3.3138,2.3437,4.9501
2,2.3016,2.1541,2.4,2.261,2.9539,3.8022,2.8151,2.3206,3.873
0,6.4271,2.5699,3.5987,3.8778,2.1403,4.2707,3.4782,2.2021,3.3439
1,7.7954,2.826,4.0807,3.7363,3.2868,7.8032,5.5146,2.6691,3.1062
2,8.0719,3.1836,3.715,3.4722,3.2382,3.7378,3.4263,2.2462,3.0709
