,0,1,2,3,4,5,6,7,8
0,-0.0953,-0.1041,-0.073,-0.0303,-0.0983,-0.116,-0.1421,-0.4881,-0.0329
1,-0.1006,0.07,0.0984,0.0686,0.0876,-0.0206,0.0448,0.0264,0.0254
2,0.1792,0.0237,0.0985,0.0811,0.0678,0.0598,0.0439,0.4445,0.0621
0,0.1381,-0.0962,0.0605,0.0171,-0.0037,0.0055,0.0569,0.0067,-0.0131
1,0.3517,0.2737,0.1096,0.002,0.1537,0.1,0.1128,0.1291,0.0879
2,-0.3775,-0.1162,-0.0748,-0.0049,-0.2701,-0.0405,-0.1169,0.0243,-0.0076
0,-0.4417,-0.383,-0.0628,0.0151,-0.3746,-0.1855,-0.024,-0.3679,0.0095
1,-0.0607,-0.1044,0.1469,0.1455,-0.1169,0.0913,0.0991,0.0388,0.1637
2,0.3844,0.6456,0.2636,0.1523,0.5708,0.4924,0.3486,0.2642,0.2966
0,-0.0423,-0.2074,-0.4152,-0.4687,-0.2074,-0.0793,-0.4532,0.0134,-0.298
1,-0.3466,0.0775,0.0692,0.1005,0.1533,-0.2882,0.147,0.0386,0.0534
2,0.2697,0.139,0.311,0.2272,0.0651,0.272,0.2389,0.0975,0.3158
0,-0.1535,-0.0948,0.039,-0.0408,0.3088,-0.0627,-0.0086,-0.2324,-0.0047
1,0.1057,0.1572,0.1292,0.0063,0.0875,-0.066,-0.0512,0.0336,-0.0623
2,0.0253,-0.0878,-0.0566,0.0293,-0.1264,0.1688,-0.1078,0.2004,0.2197
0,-0.1353,-0.064,-0.0273,-0.0685,-0.0567,-0.1323,-0.1056,-0.1579,-0.1032
1,0.0431,-0.149,-0.1487,0.0729,-0.0724,0.2521,0.1171,0.022,0.1258
2,-0.0335,0.2178,-0.049,-0.0319,0.2039,0.1551,0.1731,0.2769,0.2149
0,-0.0309,-0.37,-0.0529,0.0043,-0.267,-0.0309,-0.1101,-0.3051,-0.1865
1,-0.0766,0.0176,0.1201,0.17,-0.1379,0.0045,0.0784,-0.1654,-0.0428
2,0.1277,0.2045,-0.185,-0.306,0.3384,-0.0719,0.009,0.2267,0.1876
0,-0.109,-0.1196,-0.1222,-0.1918,-0.3043,-0.0919,-0.1942,-0.2827,0.0986
1,-0.0286,-0.0745,-0.0295,0.0533,-0.0397,-0.0642,0.1003,0.126,0.0441
2,0.5018,0.1336,-0.0685,-0.1315,0.2477,0.3159,0.0574,0.136,0.0728
0,-0.4565,0.022,-0.4713,-0.2796,-0.2142,-0.3574,-0.4551,-0.2572,-0.3399
1,0.1482,0.2723,0.274,0.1975,0.2173,0.1403,0.237,0.0048,0.1147
2,0.0449,-0.2885,0.0882,0.0529,-0.0674,0.2137,0.1261,0.051,0.2078
0,-0.0084,-0.0406,0.0989,0.139,0.042,0.1938,0.2453,-0.0916,0.1699
1,-0.0854,0.000649,-0.0116,-0.0985,-0.1218,-0.0011,-0.1292,-0.0636,-0.1532
2,0.3568,0.2053,-0.0967,-0.194,0.1645,-0.1635,-0.2116,0.3727,0.0572
0,-0.1826,-0.3655,-0.2631,-0.3426,-0.1913,-0.3348,-0.3979,-0.1512,-0.255
1,0.0235,0.2793,0.1322,0.0882,0.3033,0.1258,0.155,0.0733,0.0993
2,0.0335,0.2994,0.1657,0.2555,0.2192,0.1845,0.334,0.1445,0.2693
0,-0.3228,-0.0873,0.0117,0.0013,0.121,-0.0331,0.0839,-0.0868,-0.0513
