,0,1,2,3,4,5,6,7,8
0,-2.7179,-3.2823,-4.4727,-4.3432,-4.0845,-2.7316,-3.4542,-3.1532,-2.8737
1,-4.1712,-3.7169,-3.3117,-3.3881,-3.5867,-3.0084,-3.682,-4.4545,-2.9584
2,-2.4364,-3.1605,-3.1605,-3.4941,-2.7964,-2.9119,-3.4226,-1.9431,-3.8644
0,-3.1603,-2.7242,-3.2176,-3.092,-3.147,-3.9952,-3.5863,-3.5409,-3.4501
1,-2.3981,-1.9447,-3.1685,-2.9467,-1.9919,-3.4744,-3.3021,-4.737,-9.8169
2,-3.0102,-2.4518,-3.9275,-3.4787,-2.9816,-3.3346,-3.7458,-3.4636,-4.2232
0,-5.8555,-3.1243,-2.7017,-3.5523,-2.7895,-2.7912,-1.6689,-4.1734,-2.2501
1,-2.2148,-2.1867,-3.8174,-3.8159,-2.3567,-3.3215,-2.9158,-1.3283,-2.7887
2,-2.7127,-1.937,-1.8603,-3.1575,-2.1837,-2.1182,-2.1875,-3.7349,-2.093
0,-3.0822,-3.4656,-2.7767,-3.0231,-2.5317,-2.1993,-2.9201,-2.4042,-3.2341
1,-3.7249,-2.3839,-2.4448,-3.0843,-3.5349,-3.1472,-3.0912,-3.893,-3.2805
2,-3.6338,-2.0347,-1.4589,-2.0554,-1.6223,-4.264,-2.5537,-4.6422,-3.072
0,-5.0433,-2.6981,-4.724,-4.411,-2.0242,-2.9469,-3.2114,-4.938,-2.9613
1,-4.9111,-2.327,-3.037,-3.924,-2.0316,-3.1576,-3.1714,-4.091,-3.0618
2,-4.134,-2.5465,-4.0662,-2.8325,-1.8953,-2.8312,-2.2316,-4.9651,-2.9116
0,-4.3309,-2.5977,-2.9893,-3.7494,-2.4067,-3.9739,-2.7835,-2.157,-4.2993
1,-2.1522,-2.7041,-2.5959,-3.3572,-2.3703,-2.8523,-2.1695,-3.6081,-3.053
2,-3.849,-1.7479,-1.6854,-2.5857,-2.1451,-2.9093,-1.6785,-3.3033,-3.103
0,-3.9765,-2.6687,-2.2173,-2.3776,-3.1339,-3.095,-2.4262,-3.2043,-2.8799
1,-4.5895,-2.2595,-2.1626,-2.3897,-2.6237,-3.3473,-2.3429,-2.9241,-3.3817
2,-3.8215,-2.1338,-2.2178,-2.6765,-2.0838,-2.7489,-2.3745,-3.4777,-2.3895
0,-1.8616,-2.5286,-2.4997,-2.4318,-2.6165,-2.5553,-3.2487,-2.6341,-2.2192
1,-2.3721,-2.0037,-2.1496,-2.2507,-1.8134,-2.9844,-2.7656,-4.7903,-3.0829
2,-1.6512,-2.371,-1.5201,-1.7727,-1.5473,-2.9423,-2.3126,-2.2603,-2.6305
0,-3.039,-3.0156,-2.1089,-3.3792,-2.6193,-4.095,-2.6206,-2.6275,-3.5471
1,-3.1334,-2.2018,-1.8528,-2.8328,-2.4867,-3.6873,-2.0953,-4.1105,-3.0437
2,-2.8848,-3.399,-2.4243,-3.6872,-2.5627,-3.0961,-2.3444,-4.6724,-3.1364
0,-3.4049,-4.4662,-4.1212,-3.1384,-3.5807,-3.3159,-4.5267,-2.3926,-3.7575
1,-7.1357,-2.4949,-4.0336,-3.885,-2.9364,-2.805,-3.252,-2.9184,-3.9873
2,-2.0134,-1.75,-3.1484,-4.3017,-1.6382,-3.0867,-3.4223,-1.3843,-2.2378
0,-2.1457,-2.238,-3.73,-3.5226,-3.2026,-2.9895,-3.4382,-3.7076,-3.6755
1,-1.5013,-1.7622,-3.3823,-3.2044,-2.0627,-2.3687,-2.8676,-3.4274,-3.2435
2,-1.7728,-3.1081,-3.7869,-3.3505,-3.5256,-2.5823,-2.849,-4.0979,-3.3849
0,-3.1371,-1.9546,-3.2993,-4.2316,-1.993,-3.846,-3.382,-3.4447,-4.3968
