,0,1,2,3,4,5,6,7,8
0,0.061035,0.015367,-0.046671,-0.053509,0.074292,-0.077226,-0.055374,0.15052,-0.0519
1,0.11681,0.13379,0.052603,0.038577,0.10579,-0.031905,0.041539,0.072992,0.0519
2,0.0066499,0.14963,0.041959,0.027843,0.065027,0.094383,0.078142,0.039546,0.036363
0,-0.055452,-0.12156,-0.033812,-0.0051343,-0.073625,-0.019139,-0.034558,-0.036265,-0.019084
1,-0.02711,0.059116,0.053284,0.025964,0.12753,0.035069,0.051876,0.012728,0.041359
2,0.069708,0.080251,0.027561,0.0038039,0.057464,0.02281,0.0020471,-0.037177,0.0069841
0,0.084969,0.099485,0.026515,0.013784,0.12111,-0.036716,-0.071417,0.081256,-0.12165
1,0.016929,0.077227,0.038902,-0.00037313,0.060557,0.025947,-0.030821,0.0075991,-0.038982
2,-0.2321,-0.18524,-0.10321,-0.044455,-0.14899,-0.14245,-0.11763,-0.20429,-0.084854
0,0.13328,-0.04696,0.010744,0.09495,-0.032927,0.089842,-0.023459,0.021529,0.031112
1,0.038739,-0.08763,-0.14431,-0.11934,-0.1203,-0.02342,-0.21943,0.12234,-0.12504
2,-0.17155,-0.14959,-0.086576,-0.011188,-0.096579,-0.13137,0.050354,-0.17706,-0.067304
0,-0.01365,0.078151,0.10257,0.13555,0.19346,0.039028,0.16246,-0.13958,-0.015139
1,0.079223,0.070872,-0.00054412,0.020511,-0.041005,-0.0597,0.0092054,0.049449,-0.098414
2,0.080096,0.14656,0.015732,0.032156,-0.11708,0.014537,0.038327,0.070422,-0.04038
0,-0.035078,0.031665,0.094344,0.040767,0.096304,0.0088592,-0.0040689,-0.066596,-0.024004
1,0.033828,0.054008,0.04504,0.012251,0.079427,-0.0071698,-0.021365,0.025341,-0.011903
2,-0.16667,-0.095198,-0.066747,-0.0157,-0.10229,-0.03412,-0.12198,-0.17882,-0.033135
0,0.12882,0.10699,0.023648,0.065435,0.028934,0.068291,-0.027522,0.052349,0.020166
1,0.021569,-0.072826,-0.10493,-0.033028,-0.10911,-0.095072,-0.11518,-0.10424,-0.16355
2,-0.14841,-0.017111,0.021826,0.070257,-0.035002,-0.017496,0.052612,0.032823,-0.0065273
0,0.08522,0.12867,0.23571,0.17931,0.15221,0.025317,0.18279,0.22159,-0.040962
1,-0.010563,-0.054495,0.082558,0.018015,-0.034392,-0.10778,0.028638,0.036958,-0.15371
2,-0.14028,-0.064964,0.031392,0.088659,-0.13825,-0.10147,-0.058651,0.04041,-0.079518
0,0.10288,0.029671,0.050029,0.02179,0.065873,0.051724,0.063903,0.024653,0.029471
1,0.052924,0.039124,0.042849,0.057875,0.067196,0.027717,0.048215,0.065371,0.035421
2,0.058184,-0.061217,0.12617,0.065329,-0.099122,-0.0013227,0.074465,0.071499,-0.00055226
0,-0.0070179,-0.04044,0.013232,0.062103,0.01774,-0.007131,0.014576,-0.013776,-0.033988
1,0.0039415,0.011,-0.061153,-0.016164,-0.1391,0.046621,-0.10295,-0.0879,-0.11839
2,-0.010984,0.016589,0.15059,0.049454,0.010253,0.018786,0.1412,-0.060237,0.01827
0,0.069349,0.048326,0.038363,0.03664,0.0021104,0.025158,0.028423,0.0094763,-0.012667
1,-0.0099386,0.06432,0.042559,0.026369,0.031616,0.060422,0.042785,-0.0021103,0.038538
