,0,1,2,3,4,5,6,7,8
0,0.0906,0.2656,0.1543,0.0413,0.2405,0.2183,0.1158,0.3743,0.1303
1,0.4868,0.4935,0.1575,0.0406,0.3423,0.1478,0.2644,0.3374,0.1433
2,0.171,0.092,0.0605,0.0379,0.1446,0.123,0.0613,0.1943,0.2349
0,0.2596,0.2988,0.0922,0.0218,0.3092,0.0474,0.0934,0.1705,0.0627
1,0.1562,0.2047,0.0448,0.0328,0.2185,0.039,0.0721,0.1737,0.0424
2,0.304,0.4044,0.0682,0.0231,0.2912,0.0366,0.0982,0.128,0.0356
0,0.5125,0.221,0.2142,0.2002,0.2564,0.1772,0.097,0.5577,0.1563
1,0.3237,0.1694,0.2223,0.0866,0.1477,0.1082,0.1218,0.2615,0.0883
2,0.2933,0.1032,0.0904,0.0575,0.1864,0.0837,0.0612,0.2767,0.0873
0,0.3067,0.162,0.2421,0.2158,0.2106,0.2614,0.2754,0.3783,0.125
1,0.6599,0.1854,0.2174,0.3032,0.3635,0.3323,0.2103,0.3419,0.0748
2,0.3942,0.1666,0.1715,0.122,0.2478,0.3858,0.1516,0.6094,0.0635
0,0.472,0.252,0.2919,0.2663,0.1177,0.1184,0.3596,0.4798,0.1384
1,0.5569,0.2564,0.2124,0.3735,0.1956,0.1886,0.4619,0.4993,0.2138
2,0.3681,0.2229,0.2682,0.2237,0.1878,0.1699,0.3047,0.4325,0.1989
0,0.4279,0.309,0.1888,0.1619,0.2512,0.1867,0.2029,0.2002,0.1281
1,0.2728,0.2677,0.2724,0.1211,0.2587,0.0978,0.2346,0.3228,0.1186
2,0.3174,0.1608,0.0718,0.0829,0.14,0.0727,0.0725,0.192,0.0757
0,0.3045,0.1884,0.1809,0.2206,0.2345,0.1422,0.134,0.2741,0.1525
1,0.4047,0.254,0.1623,0.1679,0.2309,0.1967,0.1735,0.2878,0.186
2,0.3698,0.1277,0.1382,0.126,0.0973,0.0667,0.1381,0.3475,0.0878
0,0.1718,0.3678,0.3006,0.1565,0.2752,0.1352,0.16,0.214,0.1063
1,0.2028,0.1248,0.3041,0.3461,0.2137,0.085,0.2344,0.3886,0.1927
2,0.0639,0.2149,0.1068,0.1629,0.2437,0.1075,0.2014,0.08,0.0952
0,0.1914,0.259,0.1195,0.0528,0.1754,0.0551,0.0703,0.1517,0.0349
1,0.1965,0.3154,0.3374,0.0733,0.2927,0.0465,0.194,0.1874,0.0384
2,0.3362,0.4257,0.1841,0.0895,0.2279,0.0256,0.0984,0.5425,0.0381
0,0.2468,0.3522,0.3614,0.0679,0.2655,0.1536,0.3822,0.1869,0.1194
1,0.538,0.206,0.1837,0.1096,0.2138,0.3707,0.2525,0.3164,0.2585
2,0.2601,0.1602,0.1981,0.0547,0.2155,0.1874,0.2411,0.1493,0.086
0,0.1778,0.099,0.0831,0.0612,0.2188,0.1968,0.0744,0.1486,0.0465
1,0.1711,0.1466,0.1099,0.0717,0.1181,0.1061,0.1309,0.185,0.0824
2,0.1136,0.1322,0.095,0.0422,0.1134,0.0259,0.0475,0.2065,0.0624
0,0.3899,0.1901,0.1771,0.182,0.1909,0.3786,0.1697,0.3437,0.2526
1,0.4711,0.3002,0.0277,0.0655,0.2739,0.152,0.1781,0.5328,0.1898
2,0.2109,0.2586,0.0936,0.0828,0.2094,0.0793,0.0516,0.1959,0.0942
0,0.2258,0.1786,0.0434,0.016,0.2094,0.0241,0.0366,0.1678,0.0989
1,0.3441,0.3171,0.0263,0.0243,0.1973,0.0856,0.0238,0.1983,0.1394
2,0.2736,0.2926,0.0386,0.0293,0.3617,0.0181,0.0299,0.2357,0.0677
