Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,9.70E-03,1.70E-03,3.00E-03,2.10E-03,8.70E-03,2.50E-03,1.30E-03,1.40E-03,3.40E-03,4.50E-03,3.80E-03,2.10E-03,2.50E-03,1.40E-03,2.30E-03,2.90E-03,8.88E-04,1.90E-03,2.80E-03,1.90E-03,3.60E-03,6.30E-03,3.00E-03,2.40E-03,3.20E-03,2.80E-03
,2 back,1.41E-02,1.60E-03,2.70E-03,3.90E-03,7.30E-03,2.00E-03,1.60E-03,1.60E-03,5.00E-03,4.90E-03,2.90E-03,2.40E-03,1.80E-03,1.10E-03,2.00E-03,3.60E-03,1.30E-03,3.20E-03,2.20E-03,2.60E-03,4.00E-03,6.90E-03,2.90E-03,2.50E-03,3.10E-03,5.00E-03
,3 back,1.42E-02,1.60E-03,2.70E-03,3.80E-03,7.50E-03,2.00E-03,1.70E-03,1.30E-03,5.00E-03,4.30E-03,2.80E-03,1.30E-03,1.70E-03,1.10E-03,2.10E-03,3.40E-03,1.30E-03,3.40E-03,2.10E-03,2.70E-03,4.10E-03,6.80E-03,3.00E-03,2.60E-03,3.20E-03,4.90E-03
Channel 05,0 back,2.90E-03,1.50E-03,8.39E-04,1.90E-03,2.00E-03,1.70E-03,8.55E-04,1.20E-03,2.50E-03,2.50E-03,1.80E-03,8.36E-04,2.50E-03,1.20E-03,1.60E-03,1.80E-03,1.80E-03,1.70E-03,3.30E-03,1.20E-03,1.20E-03,1.60E-03,1.30E-03,1.20E-03,1.50E-03,2.40E-03
,2 back,2.00E-03,1.30E-03,8.42E-04,2.90E-03,2.20E-03,1.80E-03,8.75E-04,8.16E-04,2.90E-03,2.10E-03,2.40E-03,1.20E-03,1.80E-03,1.50E-03,2.80E-03,2.60E-03,1.30E-03,1.70E-03,2.80E-03,1.80E-03,1.20E-03,1.30E-03,1.20E-03,1.20E-03,1.40E-03,2.40E-03
,3 back,2.00E-03,1.40E-03,8.56E-04,2.90E-03,2.20E-03,1.80E-03,8.43E-04,8.07E-04,2.90E-03,1.90E-03,2.20E-03,1.20E-03,1.50E-03,1.40E-03,2.80E-03,2.60E-03,1.30E-03,1.70E-03,2.90E-03,1.80E-03,1.20E-03,1.30E-03,1.20E-03,1.30E-03,1.30E-03,2.30E-03
Channel 06,0 back,2.40E-03,2.50E-03,1.10E-03,2.00E-03,1.10E-03,2.10E-03,1.80E-03,1.70E-03,1.00E-03,1.50E-03,1.40E-03,7.60E-04,1.20E-03,2.60E-03,1.40E-03,1.60E-03,2.10E-03,1.60E-03,2.00E-03,1.80E-03,1.00E-03,1.50E-03,4.30E-03,3.00E-03,8.94E-04,1.20E-03
,2 back,1.90E-03,2.10E-03,1.90E-03,2.50E-03,1.20E-03,2.70E-03,1.80E-03,1.30E-03,1.30E-03,1.30E-03,2.00E-03,4.77E-04,1.50E-03,2.70E-03,1.10E-03,2.60E-03,1.30E-03,2.40E-03,3.20E-03,2.10E-03,1.30E-03,2.30E-03,3.70E-03,3.20E-03,1.00E-03,1.20E-03
,3 back,1.90E-03,2.20E-03,1.90E-03,2.50E-03,1.20E-03,2.70E-03,1.70E-03,1.30E-03,1.20E-03,1.30E-03,2.00E-03,4.90E-04,1.40E-03,2.60E-03,1.10E-03,2.60E-03,1.20E-03,2.40E-03,3.20E-03,2.10E-03,1.30E-03,2.40E-03,3.80E-03,3.20E-03,1.00E-03,1.20E-03
Channel 08,0 back,2.40E-03,4.90E-03,1.40E-03,1.60E-03,1.70E-03,2.10E-03,2.00E-03,1.30E-03,1.00E-03,1.30E-03,1.90E-03,5.70E-04,1.20E-03,2.20E-03,1.20E-03,1.30E-03,1.70E-03,2.70E-03,1.90E-03,1.10E-03,8.51E-04,1.20E-03,2.20E-03,1.30E-03,1.10E-03,2.00E-03
,2 back,1.40E-03,4.40E-03,1.30E-03,1.60E-03,2.20E-03,1.90E-03,1.40E-03,1.30E-03,1.30E-03,1.20E-03,1.60E-03,4.10E-04,1.10E-03,2.10E-03,1.00E-03,1.30E-03,1.30E-03,2.90E-03,1.80E-03,1.80E-03,4.87E-04,2.30E-03,2.30E-03,1.40E-03,1.20E-03,1.70E-03
,3 back,1.50E-03,3.40E-03,1.30E-03,1.60E-03,2.20E-03,1.90E-03,1.40E-03,1.30E-03,1.20E-03,1.20E-03,1.50E-03,4.18E-04,9.30E-04,2.00E-03,1.00E-03,1.30E-03,1.20E-03,2.90E-03,1.80E-03,1.80E-03,4.79E-04,2.40E-03,2.20E-03,1.40E-03,1.20E-03,1.60E-03
Channel 11,0 back,2.10E-03,2.00E-03,1.50E-03,2.50E-03,3.10E-03,1.30E-03,8.60E-04,2.20E-03,2.00E-03,1.70E-03,2.00E-03,1.40E-03,1.50E-03,1.80E-03,1.70E-03,2.80E-03,2.10E-03,1.20E-03,3.60E-03,9.80E-04,7.02E-04,1.20E-03,1.60E-03,1.50E-03,1.40E-03,1.80E-03
,2 back,1.70E-03,1.40E-03,1.20E-03,3.60E-03,3.80E-03,1.60E-03,1.10E-03,1.40E-03,2.90E-03,2.10E-03,2.30E-03,1.50E-03,9.10E-04,1.90E-03,1.30E-03,2.10E-03,1.70E-03,1.30E-03,2.60E-03,1.80E-03,1.10E-03,1.60E-03,1.90E-03,1.50E-03,1.50E-03,2.50E-03
,3 back,1.80E-03,1.40E-03,1.20E-03,3.60E-03,3.50E-03,1.60E-03,1.10E-03,1.40E-03,2.90E-03,2.00E-03,2.10E-03,1.60E-03,9.37E-04,1.80E-03,1.40E-03,2.20E-03,1.70E-03,1.30E-03,2.60E-03,1.70E-03,1.10E-03,1.60E-03,1.90E-03,1.50E-03,1.50E-03,2.50E-03
Channel 12,0 back,4.60E-03,2.70E-03,2.00E-03,2.40E-03,2.00E-03,2.30E-03,2.20E-03,1.10E-03,8.31E-04,1.90E-03,4.00E-03,1.20E-03,1.40E-03,3.70E-03,1.40E-03,2.00E-03,2.40E-03,2.00E-03,2.80E-03,2.20E-03,1.70E-03,2.50E-03,2.10E-03,5.00E-03,1.40E-03,4.40E-03
,2 back,2.40E-03,2.60E-03,2.00E-03,4.20E-03,2.80E-03,1.70E-03,2.60E-03,1.50E-03,1.00E-03,5.10E-03,2.20E-03,1.20E-03,1.60E-03,3.10E-03,1.10E-03,1.50E-03,2.60E-03,1.50E-03,3.20E-03,3.00E-03,2.00E-03,2.80E-03,1.80E-03,4.60E-03,1.20E-03,3.60E-03
,3 back,2.40E-03,1.80E-03,2.10E-03,4.10E-03,2.80E-03,1.60E-03,2.50E-03,1.40E-03,1.00E-03,1.40E-03,2.10E-03,9.54E-04,1.60E-03,2.90E-03,1.10E-03,1.50E-03,2.60E-03,1.50E-03,3.10E-03,3.10E-03,2.00E-03,2.80E-03,1.70E-03,4.50E-03,1.20E-03,3.50E-03
Channel 20,0 back,1.90E-03,1.80E-03,1.70E-03,3.50E-03,5.30E-03,1.90E-03,1.40E-03,9.37E-04,7.06E-04,8.94E-04,1.90E-03,1.30E-03,1.10E-03,3.20E-03,1.50E-03,9.88E-04,2.10E-03,3.00E-03,2.50E-03,1.10E-03,9.65E-04,1.20E-03,1.20E-03,1.90E-03,9.76E-04,1.90E-03
,2 back,2.00E-03,1.70E-03,2.30E-03,2.80E-03,3.50E-03,1.70E-03,1.60E-03,7.19E-04,9.44E-04,9.11E-04,1.80E-03,1.40E-03,1.20E-03,2.80E-03,7.79E-04,8.04E-04,1.10E-03,2.10E-03,2.50E-03,1.40E-03,9.71E-04,1.30E-03,1.60E-03,2.10E-03,1.20E-03,1.50E-03
,3 back,2.00E-03,1.10E-03,2.30E-03,2.60E-03,3.50E-03,1.70E-03,1.50E-03,7.22E-04,8.97E-04,8.86E-04,1.70E-03,1.40E-03,1.10E-03,2.70E-03,7.52E-04,8.34E-04,1.00E-03,2.10E-03,2.50E-03,1.30E-03,9.36E-04,1.30E-03,1.60E-03,2.10E-03,1.20E-03,1.50E-03
Channel 24,0 back,3.60E-03,2.00E-03,3.00E-03,2.70E-03,7.60E-03,1.60E-03,1.10E-03,1.90E-03,2.20E-03,3.60E-03,2.40E-03,1.40E-03,1.60E-03,1.60E-03,1.20E-03,3.20E-03,1.70E-03,3.10E-03,2.50E-03,1.20E-03,4.20E-03,9.80E-03,2.90E-03,2.40E-03,5.00E-03,2.00E-03
,2 back,6.30E-03,2.20E-03,2.50E-03,2.70E-03,6.80E-03,1.80E-03,2.30E-03,2.00E-03,3.30E-03,3.10E-03,2.00E-03,2.10E-03,1.40E-03,1.60E-03,1.70E-03,3.20E-03,2.10E-03,2.90E-03,1.50E-03,2.30E-03,6.20E-03,8.50E-03,2.30E-03,2.50E-03,3.70E-03,2.70E-03
,3 back,6.10E-03,2.30E-03,2.60E-03,2.80E-03,6.80E-03,1.90E-03,2.30E-03,2.00E-03,3.30E-03,3.10E-03,1.90E-03,2.00E-03,1.40E-03,1.50E-03,1.70E-03,3.30E-03,2.10E-03,3.00E-03,1.60E-03,2.20E-03,6.10E-03,8.50E-03,2.30E-03,2.50E-03,3.80E-03,2.70E-03
Channel 25,0 back,3.00E-03,2.70E-03,2.30E-03,3.30E-03,2.30E-03,2.20E-03,1.60E-03,6.75E-04,8.76E-04,1.50E-03,1.40E-03,7.04E-04,1.20E-03,3.30E-03,7.47E-04,1.20E-03,2.30E-03,2.50E-03,2.90E-03,2.20E-03,2.10E-03,3.60E-03,1.90E-03,4.90E-03,2.30E-03,2.30E-03
,2 back,2.50E-03,2.50E-03,3.60E-03,3.90E-03,2.70E-03,2.00E-03,2.20E-03,1.30E-03,9.28E-04,1.60E-03,2.00E-03,9.03E-04,1.20E-03,3.30E-03,9.04E-04,1.10E-03,2.60E-03,1.90E-03,5.50E-03,3.00E-03,1.80E-03,4.20E-03,2.20E-03,6.20E-03,2.20E-03,2.10E-03
,3 back,2.60E-03,2.40E-03,3.50E-03,3.80E-03,2.70E-03,2.00E-03,2.10E-03,1.30E-03,8.86E-04,1.40E-03,1.90E-03,9.15E-04,1.20E-03,3.20E-03,8.99E-04,1.10E-03,2.50E-03,2.00E-03,5.40E-03,3.00E-03,1.80E-03,4.20E-03,2.10E-03,6.10E-03,2.10E-03,1.90E-03
