Participant ID,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Output Leval,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,1,-6.19E-08,-1.99E-07,2.11E-06,-1.17E-06,1.86E-05,-6.65E-07,6.41E-07,-8.25E-07,-2.39E-06,-1.12E-06,2.77E-06,-1.25E-06,3.49E-06,3.74E-07,8.64E-08,-7.50E-07,-1.42E-07,-3.65E-07,-1.92E-06,1.13E-07,1.17E-06,-3.32E-06,-2.47E-06,-2.58E-06,1.89E-06,-5.87E-07
,2,-3.30E-06,-3.02E-07,-3.86E-07,-2.25E-06,-2.33E-06,3.59E-07,-2.75E-07,-3.53E-07,6.44E-08,-1.31E-06,9.27E-07,-1.73E-06,-8.92E-07,1.23E-06,-4.52E-07,-5.31E-06,4.25E-07,-2.92E-06,-5.55E-07,-1.49E-06,-3.84E-06,-8.29E-08,-2.27E-06,-1.79E-06,-1.60E-06,-9.93E-07
,3,-4.42E-07,-6.91E-07,2.06E-06,-9.53E-07,-4.34E-07,-7.46E-08,-1.10E-07,-4.96E-07,1.63E-06,6.04E-06,-1.00E-07,1.91E-06,-2.00E-06,-1.53E-07,-3.57E-07,9.53E-07,9.23E-07,-1.57E-06,3.71E-06,-5.27E-07,3.38E-06,3.09E-06,9.30E-07,7.69E-07,-6.44E-08,1.91E-06
Channel 05,1,-9.15E-07,-1.17E-06,-5.76E-07,2.12E-06,-2.30E-07,-1.03E-06,-2.36E-07,-1.55E-06,3.61E-06,-9.43E-07,1.29E-06,-2.14E-07,-8.53E-07,4.69E-07,1.01E-06,3.34E-07,-1.85E-06,-1.25E-07,-1.19E-06,1.04E-07,-9.13E-07,4.81E-07,-3.87E-07,-9.55E-07,-3.74E-07,-9.00E-07
,2,-1.94E-07,6.48E-07,8.97E-08,1.12E-06,-6.21E-07,1.44E-06,-2.85E-07,4.24E-08,-1.50E-06,4.20E-07,1.95E-06,-8.46E-07,-2.28E-06,2.04E-06,4.84E-07,-2.79E-06,2.22E-06,-1.60E-07,-1.23E-06,1.58E-06,1.78E-07,-1.41E-06,4.50E-07,-1.14E-06,1.54E-07,2.24E-06
,3,-4.45E-07,-6.75E-08,3.36E-08,2.51E-07,-8.12E-07,4.34E-07,1.38E-06,4.85E-07,2.54E-06,-3.15E-06,-1.19E-06,5.52E-07,2.62E-07,-4.52E-07,-2.42E-06,1.25E-06,4.27E-07,-4.62E-07,4.53E-08,-6.44E-07,1.18E-06,3.68E-07,-3.50E-07,6.56E-07,1.10E-06,3.07E-06
Channel 06,1,4.97E-08,-6.69E-07,4.88E-07,5.02E-07,-9.03E-07,-1.39E-06,-8.32E-07,-1.03E-06,-2.19E-07,-2.07E-06,7.71E-07,-1.51E-07,1.62E-06,5.98E-07,2.32E-07,7.53E-07,-9.24E-07,-9.09E-07,-1.27E-06,4.96E-07,-1.33E-06,6.20E-07,-3.43E-06,-2.56E-06,-9.52E-07,-1.35E-06
,2,-4.74E-07,3.15E-07,1.70E-07,3.06E-07,-9.02E-07,-2.23E-06,4.40E-07,-2.61E-07,2.98E-07,-2.55E-07,1.20E-06,-2.94E-07,1.26E-06,3.47E-06,3.88E-07,-1.86E-06,1.90E-06,-3.11E-07,-9.63E-07,1.41E-06,-8.93E-08,-1.30E-06,9.44E-08,-5.34E-07,-7.59E-07,2.13E-07
,3,-9.26E-07,1.66E-07,-7.42E-07,1.01E-06,-6.07E-07,2.21E-08,5.69E-07,5.10E-07,1.32E-06,-9.33E-07,-6.14E-07,2.91E-07,4.69E-08,-4.60E-07,-1.41E-06,-1.44E-07,2.28E-06,-9.72E-08,3.08E-07,-3.80E-07,1.06E-06,1.30E-06,7.90E-07,6.45E-07,4.18E-07,2.08E-06
Channel 08,1,3.76E-08,-4.03E-07,8.09E-08,-5.09E-07,-9.87E-07,1.88E-07,-4.41E-07,-5.57E-07,1.16E-07,-1.70E-06,6.31E-07,1.54E-08,3.29E-09,-2.31E-07,-7.05E-07,5.76E-07,-1.48E-06,-1.37E-06,-9.67E-07,-5.11E-07,-3.70E-07,-5.38E-07,-2.16E-06,-4.56E-08,-1.42E-06,-1.52E-06
