Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,3.23E-07,-6.33E-08,1.73E-07,2.72E-07,-3.70E-09,-5.40E-08,6.11E-08,6.87E-08,2.54E-07,-8.76E-08,1.64E-07,6.99E-08,-2.02E-08,-2.34E-08,2.27E-07,2.64E-07,3.83E-08,-7.30E-08,6.73E-09,9.28E-10,1.48E-07,3.87E-07,3.02E-07,1.06E-07,-2.30E-07,9.11E-08
,2 back,6.64E-07,1.52E-09,2.36E-08,3.02E-08,3.03E-07,5.92E-08,1.93E-08,-2.43E-09,3.61E-08,5.01E-08,-2.92E-08,1.48E-08,1.00E-07,-1.62E-08,1.10E-07,-6.76E-08,-3.88E-09,-4.99E-08,-5.13E-08,-8.42E-08,-1.86E-07,-3.25E-07,1.79E-07,-4.52E-08,1.06E-07,-2.52E-08
,3 back,8.86E-07,-4.86E-08,1.39E-08,1.65E-07,3.03E-07,4.30E-08,-4.21E-08,-8.29E-08,7.05E-08,1.42E-07,6.99E-08,-1.10E-07,2.18E-07,1.83E-08,6.63E-08,-3.66E-07,7.33E-08,-3.27E-07,-5.82E-08,-2.04E-07,-3.72E-07,-4.39E-07,2.21E-07,-2.05E-07,-3.06E-08,1.52E-08
Channel 05,0 back,-4.57E-08,-1.04E-07,4.39E-08,-1.51E-08,4.37E-08,2.87E-08,6.04E-08,7.80E-08,7.03E-08,-7.26E-08,8.12E-08,1.01E-07,1.08E-07,-1.14E-07,3.13E-08,-6.41E-09,4.89E-08,-9.22E-08,3.81E-08,-8.83E-08,1.07E-08,4.59E-08,5.80E-08,-9.58E-09,8.39E-08,5.55E-08
,2 back,2.09E-07,6.44E-08,3.18E-08,-7.82E-08,5.05E-08,3.20E-08,-3.88E-08,-2.69E-08,6.17E-08,1.88E-08,6.23E-08,-1.83E-08,-7.44E-09,-3.35E-08,1.58E-07,-4.11E-09,-4.73E-08,3.24E-08,-7.20E-08,-2.89E-08,-7.27E-08,-8.13E-08,8.18E-09,-3.36E-08,-1.43E-08,-9.74E-08
,3 back,3.41E-07,9.02E-08,3.78E-08,-1.09E-07,1.06E-07,2.87E-08,-2.42E-08,-3.14E-08,1.08E-07,1.27E-08,2.36E-07,-7.43E-08,-8.60E-08,4.60E-08,1.53E-07,-3.72E-08,-2.18E-08,4.35E-08,-2.13E-07,-4.24E-08,-7.22E-08,-1.62E-07,4.28E-08,-8.09E-08,1.61E-08,-4.88E-08
Channel 06,0 back,-1.26E-07,-7.97E-08,2.04E-08,2.86E-08,4.43E-08,6.54E-08,6.36E-09,1.82E-07,3.99E-08,-2.21E-09,9.02E-08,4.25E-08,-1.85E-08,-1.68E-07,-1.09E-08,-5.14E-08,2.93E-09,8.51E-08,-3.92E-08,-1.01E-07,1.04E-07,1.19E-07,4.29E-07,8.66E-08,1.06E-07,1.25E-07
,2 back,7.02E-08,1.24E-07,5.07E-08,-1.25E-07,-4.55E-09,2.41E-08,-7.68E-08,3.90E-08,6.92E-09,-3.28E-08,6.27E-08,-1.35E-08,7.64E-08,-4.59E-08,1.19E-07,1.62E-08,-8.61E-08,1.08E-07,-8.58E-08,-7.10E-08,-4.09E-08,4.79E-08,1.37E-07,7.00E-08,1.08E-08,-8.66E-08
,3 back,1.24E-07,9.55E-08,6.67E-08,-1.43E-07,-5.28E-09,-2.17E-08,-4.91E-08,3.80E-08,8.31E-08,-3.32E-08,1.44E-07,-3.71E-08,2.33E-07,7.66E-08,1.13E-07,5.44E-09,1.41E-08,1.62E-07,-1.55E-07,-1.30E-07,-3.25E-08,9.33E-09,1.72E-07,1.18E-07,-2.05E-08,-9.62E-08
Channel 08,0 back,-1.29E-07,-6.28E-08,-6.58E-09,7.27E-08,1.17E-07,2.41E-08,3.39E-08,1.30E-07,2.37E-08,5.63E-08,8.37E-08,3.02E-08,-9.66E-09,-1.22E-07,1.16E-08,-1.21E-08,1.68E-08,1.48E-07,1.47E-08,-7.16E-08,1.59E-08,1.52E-07,1.03E-07,-5.40E-08,1.46E-07,9.31E-08
,2 back,6.38E-08,2.35E-07,1.60E-08,-9.24E-08,1.13E-08,-4.31E-09,-1.95E-08,-2.40E-09,3.55E-08,-2.57E-08,2.37E-08,6.57E-10,8.10E-08,-6.08E-08,4.08E-08,2.99E-08,-5.29E-08,2.20E-07,-3.90E-08,-8.58E-09,-1.93E-08,8.13E-08,-4.31E-08,1.75E-08,2.31E-08,-7.51E-08
,3 back,6.32E-08,1.44E-07,-1.69E-08,-1.04E-07,5.82E-09,-1.17E-08,1.85E-08,-3.17E-09,1.28E-07,-3.23E-08,1.48E-07,-9.57E-09,1.71E-07,3.08E-08,1.93E-08,-1.34E-08,2.17E-08,3.85E-07,-1.24E-07,-1.16E-08,-2.08E-08,6.73E-08,3.69E-08,-1.11E-08,-5.34E-09,-7.88E-08
Channel 11,0 back,3.64E-08,-6.77E-08,8.16E-08,3.21E-09,3.68E-07,5.65E-08,2.99E-08,1.56E-07,7.62E-08,2.08E-10,1.24E-08,9.25E-08,8.03E-08,-1.44E-07,4.41E-08,1.79E-07,2.90E-08,-5.83E-08,1.69E-07,-4.15E-08,-2.30E-08,1.02E-07,8.26E-08,2.36E-08,9.32E-08,1.68E-07
,2 back,1.09E-07,1.19E-07,4.09E-08,-1.08E-07,-6.70E-08,3.88E-08,-5.76E-08,-3.61E-08,6.02E-08,-1.50E-07,4.25E-08,3.85E-09,6.66E-08,-5.84E-08,1.57E-07,1.60E-07,-6.33E-08,9.57E-08,1.26E-08,-8.98E-08,-4.10E-08,-7.67E-09,3.36E-08,-7.46E-08,3.81E-08,-1.35E-07
,3 back,1.36E-07,1.57E-07,3.93E-08,-2.34E-07,-4.11E-07,2.52E-08,-4.53E-08,-5.65E-08,9.04E-08,-2.04E-07,2.50E-07,-7.71E-08,7.19E-08,1.77E-08,1.25E-07,1.45E-07,-1.98E-08,8.58E-08,-7.15E-08,-2.22E-08,-5.94E-08,-8.89E-08,5.30E-08,-1.06E-07,-4.71E-09,-2.27E-07
Channel 12,0 back,-1.66E-07,-8.07E-08,-2.92E-08,1.74E-07,1.93E-08,6.99E-09,7.50E-08,4.16E-08,4.90E-08,-5.99E-08,9.48E-08,1.89E-08,1.91E-08,-1.46E-07,9.72E-09,4.55E-08,3.40E-08,5.12E-08,-2.53E-08,-1.01E-07,5.84E-08,-5.71E-08,2.68E-08,-4.65E-07,4.50E-08,2.13E-07
,2 back,-5.14E-08,1.16E-07,6.70E-08,-6.73E-08,-6.61E-08,-5.71E-09,-1.10E-07,-6.76E-08,1.86E-08,7.11E-08,6.86E-08,4.03E-08,6.95E-08,-7.98E-08,4.58E-08,2.19E-08,-1.14E-07,8.29E-08,-2.16E-07,-8.95E-08,-1.01E-07,-1.18E-07,-6.41E-08,-2.46E-09,1.51E-08,-7.71E-08
,3 back,-2.38E-08,8.38E-08,9.46E-08,-1.19E-08,-5.78E-08,2.00E-08,-8.57E-08,-8.26E-08,6.05E-08,-7.63E-08,2.62E-07,-1.88E-08,1.61E-07,6.55E-08,-1.09E-08,1.11E-08,-1.51E-07,1.02E-07,-1.94E-07,-2.49E-07,-1.55E-07,-1.60E-07,4.34E-08,5.75E-08,-1.50E-08,-7.45E-08
Channel 20,0 back,-9.42E-08,-5.38E-08,-5.73E-08,-1.24E-08,5.36E-07,-1.36E-08,-3.03E-08,6.95E-08,3.96E-08,-9.52E-09,6.49E-08,-6.39E-08,1.51E-08,-2.14E-07,4.48E-08,1.17E-08,3.18E-08,-7.30E-08,-5.23E-08,-8.99E-08,5.28E-08,3.00E-08,9.56E-08,-1.47E-07,6.83E-08,4.69E-08
,2 back,3.93E-08,8.05E-08,7.54E-09,-2.58E-07,5.35E-09,-2.59E-08,-7.05E-08,4.42E-09,8.75E-09,-6.03E-08,3.18E-08,-3.18E-08,6.93E-08,-7.33E-08,7.05E-08,3.52E-09,-5.69E-08,1.51E-07,-7.48E-08,-3.47E-08,-5.30E-08,8.19E-10,-3.34E-08,-4.67E-08,9.59E-09,-8.42E-08
,3 back,7.94E-08,8.25E-08,2.85E-08,-2.68E-07,-4.53E-09,-6.58E-08,-3.12E-08,4.65E-09,7.03E-08,-6.24E-08,1.35E-07,-6.94E-08,1.57E-07,4.91E-08,6.24E-08,-3.57E-08,3.33E-08,2.49E-07,-1.41E-07,-1.91E-08,-4.28E-08,-4.22E-09,-7.15E-09,-6.42E-08,-3.13E-09,-7.71E-08
