Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,-1.54E-02,-2.50E-03,-5.40E-03,-4.50E-03,-1.12E-02,-5.90E-03,-2.10E-03,-8.65E-04,-4.50E-03,-6.00E-03,-2.10E-03,-2.70E-03,-3.60E-03,-1.00E-03,-7.20E-03,-3.30E-03,-9.16E-04,-1.50E-03,-6.50E-03,-1.80E-03,-5.70E-03,-1.05E-02,-4.60E-03,-4.00E-03,-6.60E-03,-3.30E-03
,2 back,-2.03E-02,-1.90E-03,-2.10E-03,-4.80E-03,-1.37E-02,-3.00E-03,-1.70E-03,-1.00E-03,-5.80E-03,-1.06E-02,-1.50E-03,-2.70E-03,-3.50E-03,-1.20E-03,-2.40E-03,-4.80E-03,-1.20E-03,-8.70E-03,-2.30E-03,-3.60E-03,-2.90E-03,-4.80E-03,-6.40E-03,-4.80E-03,-3.60E-03,-3.00E-03
,3 back,-2.02E-02,-1.90E-03,-2.10E-03,-4.90E-03,-1.36E-02,-3.00E-03,-1.60E-03,-9.77E-04,-5.80E-03,-7.00E-03,-1.60E-03,-2.60E-03,-3.50E-03,-1.20E-03,-2.30E-03,-4.60E-03,-1.30E-03,-8.50E-03,-2.30E-03,-3.50E-03,-2.80E-03,-4.90E-03,-6.40E-03,-4.70E-03,-3.50E-03,-3.10E-03
Channel 05,0 back,-4.20E-03,-1.90E-03,-1.00E-03,-2.70E-03,-2.00E-03,-1.30E-03,-8.16E-04,-9.94E-04,-3.50E-03,-3.50E-03,-1.70E-03,-9.10E-04,-1.90E-03,-1.60E-03,-2.70E-03,-1.80E-03,-2.70E-03,-1.50E-03,-3.80E-03,-1.40E-03,-1.10E-03,-1.50E-03,-1.20E-03,-1.10E-03,-1.50E-03,-2.00E-03
,2 back,-5.00E-03,-1.50E-03,-6.53E-04,-2.00E-03,-1.90E-03,-1.30E-03,-8.26E-04,-7.68E-04,-2.90E-03,-1.90E-03,-1.70E-03,-1.80E-03,-1.30E-03,-1.40E-03,-2.60E-03,-2.10E-03,-1.30E-03,-1.30E-03,-2.10E-03,-1.80E-03,-1.00E-03,-1.00E-03,-1.10E-03,-1.40E-03,-1.20E-03,-2.10E-03
,3 back,-5.00E-03,-1.50E-03,-6.40E-04,-2.00E-03,-1.90E-03,-1.30E-03,-8.73E-04,-7.77E-04,-2.90E-03,-1.90E-03,-1.70E-03,-1.80E-03,-1.20E-03,-1.50E-03,-2.50E-03,-2.00E-03,-1.20E-03,-1.30E-03,-2.00E-03,-1.80E-03,-1.10E-03,-1.00E-03,-1.10E-03,-1.30E-03,-1.20E-03,-2.20E-03
Channel 06,0 back,-3.40E-03,-2.60E-03,-1.50E-03,-1.70E-03,-1.70E-03,-2.00E-03,-1.40E-03,-1.40E-03,-8.17E-04,-2.60E-03,-1.80E-03,-5.83E-04,-1.10E-03,-3.30E-03,-2.80E-03,-1.60E-03,-2.10E-03,-3.40E-03,-2.00E-03,-1.40E-03,-9.44E-04,-2.50E-03,-5.70E-03,-4.90E-03,-9.62E-04,-1.80E-03
,2 back,-2.20E-03,-1.70E-03,-2.20E-03,-1.70E-03,-1.50E-03,-1.70E-03,-1.40E-03,-1.20E-03,-1.10E-03,-1.80E-03,-1.60E-03,-4.12E-04,-1.40E-03,-2.60E-03,-2.30E-03,-2.40E-03,-1.90E-03,-3.10E-03,-1.70E-03,-1.60E-03,-8.06E-04,-2.20E-03,-4.70E-03,-3.20E-03,-1.70E-03,-1.40E-03
,3 back,-2.20E-03,-1.70E-03,-2.20E-03,-1.70E-03,-1.50E-03,-1.70E-03,-1.50E-03,-1.20E-03,-1.20E-03,-1.80E-03,-1.70E-03,-3.99E-04,-1.40E-03,-2.80E-03,-2.30E-03,-2.40E-03,-2.00E-03,-3.10E-03,-1.70E-03,-1.50E-03,-8.34E-04,-2.20E-03,-4.70E-03,-3.20E-03,-1.60E-03,-1.40E-03
Channel 08,0 back,-2.40E-03,-3.60E-03,-1.70E-03,-1.20E-03,-3.10E-03,-1.80E-03,-1.40E-03,-1.10E-03,-1.00E-03,-1.70E-03,-1.70E-03,-7.94E-04,-1.10E-03,-2.60E-03,-2.40E-03,-1.90E-03,-2.60E-03,-5.50E-03,-1.20E-03,-1.60E-03,-9.41E-04,-1.90E-03,-2.50E-03,-1.70E-03,-1.40E-03,-1.60E-03
,2 back,-1.80E-03,-4.00E-03,-1.80E-03,-1.30E-03,-3.20E-03,-1.80E-03,-1.30E-03,-1.10E-03,-1.20E-03,-1.30E-03,-1.50E-03,-4.92E-04,-1.20E-03,-2.10E-03,-1.50E-03,-2.20E-03,-1.90E-03,-5.10E-03,-1.30E-03,-1.50E-03,-5.17E-04,-2.20E-03,-2.00E-03,-1.40E-03,-1.70E-03,-1.40E-03
,3 back,-1.80E-03,-3.80E-03,-1.80E-03,-1.30E-03,-3.20E-03,-1.80E-03,-1.40E-03,-1.10E-03,-1.30E-03,-1.30E-03,-1.30E-03,-4.84E-04,-1.20E-03,-2.20E-03,-1.50E-03,-2.20E-03,-2.00E-03,-5.10E-03,-1.20E-03,-1.50E-03,-5.25E-04,-2.10E-03,-2.10E-03,-1.40E-03,-1.60E-03,-1.40E-03
Channel 11,0 back,-2.80E-03,-2.40E-03,-1.30E-03,-2.20E-03,-3.70E-03,-9.89E-04,-1.20E-03,-1.50E-03,-1.90E-03,-3.20E-03,-1.90E-03,-1.00E-03,-1.30E-03,-2.10E-03,-3.30E-03,-2.40E-03,-1.90E-03,-1.40E-03,-3.90E-03,-1.60E-03,-8.52E-04,-1.50E-03,-1.30E-03,-1.70E-03,-1.10E-03,-1.80E-03
,2 back,-2.80E-03,-1.50E-03,-9.79E-04,-3.40E-03,-3.00E-03,-1.10E-03,-1.10E-03,-1.10E-03,-2.10E-03,-2.40E-03,-2.30E-03,-1.60E-03,-1.10E-03,-1.90E-03,-2.00E-03,-3.90E-03,-1.60E-03,-1.10E-03,-2.10E-03,-1.60E-03,-7.42E-04,-1.10E-03,-1.50E-03,-1.60E-03,-1.60E-03,-2.10E-03
,3 back,-2.80E-03,-1.50E-03,-9.54E-04,-3.30E-03,-2.80E-03,-1.00E-03,-1.10E-03,-9.69E-04,-2.10E-03,-2.50E-03,-1.50E-03,-1.50E-03,-1.00E-03,-2.00E-03,-1.90E-03,-3.80E-03,-1.30E-03,-1.10E-03,-2.00E-03,-1.30E-03,-7.47E-04,-1.10E-03,-1.50E-03,-1.40E-03,-1.50E-03,-2.10E-03
Channel 12,0 back,-2.20E-03,-2.60E-03,-1.30E-03,-2.80E-03,-2.20E-03,-2.90E-03,-2.60E-03,-7.11E-04,-7.51E-04,-2.70E-03,-2.00E-03,-1.40E-03,-1.40E-03,-4.00E-03,-2.30E-03,-1.40E-03,-1.60E-03,-2.30E-03,-2.70E-03,-1.70E-03,-1.90E-03,-2.20E-03,-1.60E-03,-4.40E-03,-1.00E-03,-4.60E-03
,2 back,-3.60E-03,-2.10E-03,-1.90E-03,-3.90E-03,-2.30E-03,-2.00E-03,-2.70E-03,-9.61E-04,-8.81E-04,-1.90E-03,-1.70E-03,-1.30E-03,-1.50E-03,-3.40E-03,-1.50E-03,-1.70E-03,-1.70E-03,-1.60E-03,-2.20E-03,-3.40E-03,-1.50E-03,-1.90E-03,-1.50E-03,-4.40E-03,-1.30E-03,-4.10E-03
,3 back,-3.60E-03,-2.00E-03,-1.90E-03,-4.00E-03,-2.30E-03,-2.00E-03,-2.80E-03,-9.81E-04,-9.06E-04,-1.50E-03,-1.80E-03,-1.20E-03,-1.50E-03,-3.50E-03,-1.50E-03,-1.00E-03,-1.70E-03,-1.60E-03,-2.30E-03,-3.30E-03,-1.50E-03,-1.90E-03,-1.70E-03,-4.50E-03,-1.20E-03,-4.10E-03
