Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,1.17E+00,0.00E+00,4.32E-01,8.56E-02,1.12E+00,2.06E-01,0.00E+00,0.00E+00,4.48E-01,5.46E-01,5.57E-01,9.45E-02,2.54E-01,0.00E+00,1.58E-01,1.63E-01,0.00E+00,0.00E+00,2.84E-01,0.00E+00,6.01E-01,7.56E-01,3.78E-01,2.61E-01,1.28E-01,5.88E-02
,2 back,1.31E+00,0.00E+00,3.66E-01,2.54E-01,1.01E+00,0.00E+00,0.00E+00,0.00E+00,4.95E-01,6.46E-01,1.28E-01,1.42E-01,0.00E+00,0.00E+00,1.29E-02,5.84E-01,0.00E+00,5.88E-01,5.24E-02,2.53E-01,3.61E-01,8.23E-01,3.39E-01,7.91E-02,2.84E-01,2.89E-01
,3 back,1.38E+00,0.00E+00,4.15E-01,2.60E-01,1.03E+00,3.42E-02,0.00E+00,0.00E+00,5.48E-01,5.85E-01,1.23E-01,0.00E+00,0.00E+00,0.00E+00,2.82E-02,4.83E-01,0.00E+00,6.65E-01,5.75E-02,2.99E-01,3.25E-01,8.81E-01,4.17E-01,2.68E-01,3.11E-01,3.14E-01
Channel 05,0 back,1.74E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-01,6.05E-02,0.00E+00,0.00E+00,6.89E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.12E-02
,2 back,6.70E-02,0.00E+00,0.00E+00,2.50E-01,6.75E-02,0.00E+00,0.00E+00,0.00E+00,2.44E-01,1.09E-01,9.64E-02,0.00E+00,0.00E+00,0.00E+00,1.57E-01,1.60E-01,0.00E+00,0.00E+00,4.29E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.45E-02
,3 back,6.70E-02,0.00E+00,0.00E+00,2.78E-01,7.27E-02,0.00E+00,0.00E+00,0.00E+00,2.74E-01,0.00E+00,9.05E-02,0.00E+00,0.00E+00,0.00E+00,2.06E-01,1.90E-01,0.00E+00,0.00E+00,5.01E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.14E-02
Channel 06,0 back,9.32E-02,1.07E-01,0.00E+00,7.42E-02,0.00E+00,1.52E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.81E-02,0.00E+00,0.00E+00,7.10E-02,0.00E+00,1.56E-02,0.00E+00,0.00E+00,0.00E+00,8.30E-01,2.54E-01,0.00E+00,0.00E+00
,2 back,0.00E+00,3.64E-02,0.00E+00,2.10E-01,0.00E+00,2.79E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.85E-02,0.00E+00,0.00E+00,1.68E-01,0.00E+00,1.40E-01,0.00E+00,6.89E-02,3.23E-01,5.35E-02,0.00E+00,1.14E-01,7.59E-01,5.33E-01,0.00E+00,0.00E+00
,3 back,0.00E+00,4.79E-02,0.00E+00,2.30E-01,0.00E+00,3.23E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E-02,0.00E+00,0.00E+00,1.56E-01,0.00E+00,1.62E-01,0.00E+00,7.86E-02,3.64E-01,8.55E-02,0.00E+00,1.83E-01,8.32E-01,5.87E-01,0.00E+00,0.00E+00
