Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel No,Task,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 01,0 back,6.20E-03,8.20E-04,1.60E-03,1.20E-03,3.60E-03,1.50E-03,6.48E-04,4.31E-04,1.60E-03,1.80E-03,1.40E-03,1.10E-03,1.30E-03,4.98E-04,1.90E-03,1.30E-03,4.01E-04,6.50E-04,1.70E-03,7.92E-04,2.00E-03,2.60E-03,1.20E-03,1.40E-03,1.50E-03,1.00E-03
,2 back,6.70E-03,6.64E-04,1.10E-03,1.60E-03,3.40E-03,9.46E-04,5.79E-04,4.59E-04,2.00E-03,2.30E-03,8.22E-04,9.13E-04,1.20E-03,6.04E-04,1.00E-03,1.70E-03,4.67E-04,2.00E-03,8.48E-04,1.30E-03,1.50E-03,2.50E-03,1.90E-03,1.60E-03,1.30E-03,1.20E-03
,3 back,7.20E-03,6.64E-04,1.10E-03,1.60E-03,3.50E-03,9.94E-04,5.88E-04,4.42E-04,2.10E-03,2.00E-03,8.44E-04,7.95E-04,1.30E-03,6.23E-04,1.10E-03,1.60E-03,4.62E-04,2.10E-03,8.37E-04,1.40E-03,1.50E-03,2.60E-03,2.00E-03,1.60E-03,1.40E-03,1.30E-03
Channel 05,0 back,1.30E-03,8.45E-04,3.52E-04,8.32E-04,7.15E-04,5.77E-04,3.72E-04,4.69E-04,9.64E-04,8.52E-04,6.61E-04,3.80E-04,7.55E-04,6.34E-04,7.67E-04,7.60E-04,7.11E-04,5.69E-04,9.86E-04,5.78E-04,4.86E-04,6.38E-04,5.11E-04,4.75E-04,7.02E-04,9.42E-04
,2 back,1.60E-03,5.43E-04,2.74E-04,8.96E-04,7.71E-04,5.34E-04,3.54E-04,3.60E-04,1.10E-03,8.18E-04,8.00E-04,5.75E-04,6.70E-04,7.90E-04,9.80E-04,8.63E-04,4.99E-04,5.02E-04,1.10E-03,7.58E-04,4.86E-04,5.43E-04,4.51E-04,5.60E-04,5.03E-04,9.84E-04
,3 back,1.70E-03,5.68E-04,2.73E-04,9.45E-04,8.12E-04,5.43E-04,3.42E-04,3.63E-04,1.10E-03,7.45E-04,7.72E-04,6.05E-04,6.27E-04,8.01E-04,1.00E-03,8.55E-04,4.80E-04,5.35E-04,1.20E-03,7.80E-04,5.09E-04,5.64E-04,4.76E-04,5.68E-04,5.08E-04,9.92E-04
Channel 06,0 back,9.48E-04,1.00E-03,5.57E-04,7.42E-04,5.91E-04,8.25E-04,5.82E-04,7.50E-04,3.80E-04,7.34E-04,6.65E-04,2.39E-04,4.60E-04,1.00E-03,7.47E-04,6.86E-04,6.83E-04,9.55E-04,7.93E-04,6.76E-04,4.96E-04,6.96E-04,2.50E-03,1.30E-03,4.65E-04,6.56E-04
,2 back,8.56E-04,6.82E-04,7.85E-04,8.28E-04,4.65E-04,8.92E-04,7.19E-04,5.66E-04,6.72E-04,6.95E-04,7.14E-04,1.81E-04,6.55E-04,1.10E-03,6.94E-04,7.80E-04,6.82E-04,1.10E-03,9.31E-04,7.15E-04,5.53E-04,9.36E-04,1.80E-03,1.40E-03,4.36E-04,5.89E-04
,3 back,9.03E-04,6.50E-04,8.13E-04,8.65E-04,4.86E-04,9.49E-04,7.54E-04,5.99E-04,7.01E-04,6.88E-04,7.53E-04,1.85E-04,6.29E-04,1.20E-03,7.16E-04,7.93E-04,6.34E-04,1.10E-03,1.00E-03,7.58E-04,5.87E-04,9.73E-04,1.90E-03,1.50E-03,4.56E-04,5.90E-04
