,0,1,2,3,4,5,6,7,8
0,1.17,0.174,0.0932,0.105,0.0396,0.47,0.0,0.61,0.32
1,1.31,0.067,0.0,0.0,0.0,0.263,0.0257,0.666,0.0559
2,1.38,0.067,0.0,0.0,0.0,0.26,0.0162,0.651,0.067
0,0.0,0.0,0.107,0.428,0.018,0.226,0.0,0.002,0.287
1,0.0,0.0,0.0364,0.41,0.0,0.0972,0.0,0.0387,0.127
2,0.0,0.0,0.0479,0.349,0.0,0.0,0.0,0.0479,0.108
0,0.432,0.0,0.0,0.0,0.0,0.002,0.0,0.422,0.007
1,0.366,0.0,0.0,0.0,0.0,0.0455,0.139,0.305,0.542
2,0.415,0.0,0.0,0.0,0.0,0.0595,0.15,0.345,0.577
0,0.0856,0.0,0.0742,0.0,0.135,0.219,0.139,0.245,0.119
1,0.254,0.25,0.21,0.0,0.313,0.289,0.464,0.524,0.483
2,0.26,0.278,0.23,0.0,0.36,0.252,0.515,0.619,0.494
0,1.12,0.0,0.0,0.0,0.479,0.0171,0.808,0.974,0.0524
1,1.01,0.0675,0.0,0.0645,0.725,0.169,0.513,0.781,0.264
2,1.03,0.0727,0.0,0.075,0.606,0.173,0.571,0.798,0.29
0,0.206,0.0,0.152,0.135,0.0,0.0914,0.0,0.0,0.0734
1,0.0,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0342,0.0,0.323,0.0,0.0,0.0,0.0,0.0,0.0063
0,0.0,0.0,0.0,0.0158,0.0,0.0224,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.226,0.0,0.0795,0.202
2,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0831,0.196
0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0247,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299,0.0
0,0.448,0.165,0.0,0.0,0.0333,0.0,0.0,0.138,0.0
1,0.495,0.244,0.0,0.0,0.219,0.0,0.0,0.391,0.0
2,0.548,0.274,0.0,0.0,0.248,0.0,0.0,0.417,0.0
0,0.546,0.0605,0.0,0.0,0.0,0.0,0.0,0.47,0.0
1,0.646,0.109,0.0,0.0,0.0459,0.157,0.0,0.404,0.0
2,0.585,0.0,0.0,0.0,0.0462,0.0,0.0,0.432,0.0
0,0.557,0.0,0.0,0.0,0.05,0.318,0.0,0.127,0.0
1,0.128,0.0964,0.0285,0.0,0.0718,0.153,0.0,0.0055,0.0
2,0.123,0.0905,0.0115,0.0,0.0608,0.0472,0.0,0.0,0.0
0,0.0945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0
0,0.254,0.0689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0781,0.0359,0.0,0.383,0.352,0.0,0.345
1,0.0,0.0,0.168,0.0628,0.0,0.372,0.388,0.0,0.394
2,0.0,0.0,0.156,0.0463,0.0,0.375,0.396,0.0,0.415
0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0129,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0282,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.163,0.0,0.0,0.0,0.335,0.0322,0.0,0.548,0.0
1,0.584,0.16,0.14,0.0,0.164,0.0,0.0,0.457,0.0
2,0.483,0.19,0.162,0.0,0.222,0.0,0.0,0.376,0.0
0,0.0,0.0,0.071,0.0,0.0055,0.0211,0.0381,0.0,0.0536
1,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0493,0.0912
2,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0661,0.0976
