,0,1,2,3,4,5,6,7,8
0,0.0097,0.0029,0.0024,0.0024,0.0021,0.0046,0.0019,0.0036,0.003
1,0.0141,0.002,0.0019,0.0014,0.0017,0.0024,0.002,0.0063,0.0025
2,0.0142,0.002,0.0019,0.0015,0.0018,0.0024,0.002,0.0061,0.0026
0,0.0017,0.0015,0.0025,0.0049,0.002,0.0027,0.0018,0.002,0.0027
1,0.0016,0.0013,0.0021,0.0044,0.0014,0.0026,0.0017,0.0022,0.0025
2,0.0016,0.0014,0.0022,0.0034,0.0014,0.0018,0.0011,0.0023,0.0024
0,0.003,0.000839,0.0011,0.0014,0.0015,0.002,0.0017,0.003,0.0023
1,0.0027,0.000842,0.0019,0.0013,0.0012,0.002,0.0023,0.0025,0.0036
2,0.0027,0.000856,0.0019,0.0013,0.0012,0.0021,0.0023,0.0026,0.0035
0,0.0021,0.0019,0.002,0.0016,0.0025,0.0024,0.0035,0.0027,0.0033
1,0.0039,0.0029,0.0025,0.0016,0.0036,0.0042,0.0028,0.0027,0.0039
2,0.0038,0.0029,0.0025,0.0016,0.0036,0.0041,0.0026,0.0028,0.0038
0,0.0087,0.002,0.0011,0.0017,0.0031,0.002,0.0053,0.0076,0.0023
1,0.0073,0.0022,0.0012,0.0022,0.0038,0.0028,0.0035,0.0068,0.0027
2,0.0075,0.0022,0.0012,0.0022,0.0035,0.0028,0.0035,0.0068,0.0027
0,0.0025,0.0017,0.0021,0.0021,0.0013,0.0023,0.0019,0.0016,0.0022
1,0.002,0.0018,0.0027,0.0019,0.0016,0.0017,0.0017,0.0018,0.002
2,0.002,0.0018,0.0027,0.0019,0.0016,0.0016,0.0017,0.0019,0.002
0,0.0013,0.000855,0.0018,0.002,0.00086,0.0022,0.0014,0.0011,0.0016
1,0.0016,0.000875,0.0018,0.0014,0.0011,0.0026,0.0016,0.0023,0.0022
2,0.0017,0.000843,0.0017,0.0014,0.0011,0.0025,0.0015,0.0023,0.0021
0,0.0014,0.0012,0.0017,0.0013,0.0022,0.0011,0.000937,0.0019,0.000675
1,0.0016,0.000816,0.0013,0.0013,0.0014,0.0015,0.000719,0.002,0.0013
2,0.0013,0.000807,0.0013,0.0013,0.0014,0.0014,0.000722,0.002,0.0013
0,0.0034,0.0025,0.001,0.001,0.002,0.000831,0.000706,0.0022,0.000876
1,0.005,0.0029,0.0013,0.0013,0.0029,0.001,0.000944,0.0033,0.000928
2,0.005,0.0029,0.0012,0.0012,0.0029,0.001,0.000897,0.0033,0.000886
0,0.0045,0.0025,0.0015,0.0013,0.0017,0.0019,0.000894,0.0036,0.0015
1,0.0049,0.0021,0.0013,0.0012,0.0021,0.0051,0.000911,0.0031,0.0016
2,0.0043,0.0019,0.0013,0.0012,0.002,0.0014,0.000886,0.0031,0.0014
0,0.0038,0.0018,0.0014,0.0019,0.002,0.004,0.0019,0.0024,0.0014
1,0.0029,0.0024,0.002,0.0016,0.0023,0.0022,0.0018,0.002,0.002
2,0.0028,0.0022,0.002,0.0015,0.0021,0.0021,0.0017,0.0019,0.0019
0,0.0021,0.000836,0.00076,0.00057,0.0014,0.0012,0.0013,0.0014,0.000704
1,0.0024,0.0012,0.000477,0.00041,0.0015,0.0012,0.0014,0.0021,0.000903
2,0.0013,0.0012,0.00049,0.000418,0.0016,0.000954,0.0014,0.002,0.000915
0,0.0025,0.0025,0.0012,0.0012,0.0015,0.0014,0.0011,0.0016,0.0012
1,0.0018,0.0018,0.0015,0.0011,0.00091,0.0016,0.0012,0.0014,0.0012
2,0.0017,0.0015,0.0014,0.00093,0.000937,0.0016,0.0011,0.0014,0.0012
0,0.0014,0.0012,0.0026,0.0022,0.0018,0.0037,0.0032,0.0016,0.0033
1,0.0011,0.0015,0.0027,0.0021,0.0019,0.0031,0.0028,0.0016,0.0033
2,0.0011,0.0014,0.0026,0.002,0.0018,0.0029,0.0027,0.0015,0.0032
0,0.0023,0.0016,0.0014,0.0012,0.0017,0.0014,0.0015,0.0012,0.000747
1,0.002,0.0028,0.0011,0.001,0.0013,0.0011,0.000779,0.0017,0.000904
2,0.0021,0.0028,0.0011,0.001,0.0014,0.0011,0.000752,0.0017,0.000899
0,0.0029,0.0018,0.0016,0.0013,0.0028,0.002,0.000988,0.0032,0.0012
1,0.0036,0.0026,0.0026,0.0013,0.0021,0.0015,0.000804,0.0032,0.0011
2,0.0034,0.0026,0.0026,0.0013,0.0022,0.0015,0.000834,0.0033,0.0011
0,0.000888,0.0018,0.0021,0.0017,0.0021,0.0024,0.0021,0.0017,0.0023
1,0.0013,0.0013,0.0013,0.0013,0.0017,0.0026,0.0011,0.0021,0.0026
2,0.0013,0.0013,0.0012,0.0012,0.0017,0.0026,0.001,0.0021,0.0025
0,0.0019,0.0017,0.0016,0.0027,0.0012,0.002,0.003,0.0031,0.0025
1,0.0032,0.0017,0.0024,0.0029,0.0013,0.0015,0.0021,0.0029,0.0019
2,0.0034,0.0017,0.0024,0.0029,0.0013,0.0015,0.0021,0.003,0.002
0,0.0028,0.0033,0.002,0.0019,0.0036,0.0028,0.0025,0.0025,0.0029
1,0.0022,0.0028,0.0032,0.0018,0.0026,0.0032,0.0025,0.0015,0.0055
2,0.0021,0.0029,0.0032,0.0018,0.0026,0.0031,0.0025,0.0016,0.0054
0,0.0019,0.0012,0.0018,0.0011,0.00098,0.0022,0.0011,0.0012,0.0022
1,0.0026,0.0018,0.0021,0.0018,0.0018,0.003,0.0014,0.0023,0.003
2,0.0027,0.0018,0.0021,0.0018,0.0017,0.0031,0.0013,0.0022,0.003
0,0.0036,0.0012,0.001,0.000851,0.000702,0.0017,0.000965,0.0042,0.0021
1,0.004,0.0012,0.0013,0.000487,0.0011,0.002,0.000971,0.0062,0.0018
2,0.0041,0.0012,0.0013,0.000479,0.0011,0.002,0.000936,0.0061,0.0018
0,0.0063,0.0016,0.0015,0.0012,0.0012,0.0025,0.0012,0.0098,0.0036
1,0.0069,0.0013,0.0023,0.0023,0.0016,0.0028,0.0013,0.0085,0.0042
2,0.0068,0.0013,0.0024,0.0024,0.0016,0.0028,0.0013,0.0085,0.0042
0,0.003,0.0013,0.0043,0.0022,0.0016,0.0021,0.0012,0.0029,0.0019
1,0.0029,0.0012,0.0037,0.0023,0.0019,0.0018,0.0016,0.0023,0.0022
2,0.003,0.0012,0.0038,0.0022,0.0019,0.0017,0.0016,0.0023,0.0021
0,0.0024,0.0012,0.003,0.0013,0.0015,0.005,0.0019,0.0024,0.0049
1,0.0025,0.0012,0.0032,0.0014,0.0015,0.0046,0.0021,0.0025,0.0062
2,0.0026,0.0013,0.0032,0.0014,0.0015,0.0045,0.0021,0.0025,0.0061
0,0.0032,0.0015,0.000894,0.0011,0.0014,0.0014,0.000976,0.005,0.0023
1,0.0031,0.0014,0.001,0.0012,0.0015,0.0012,0.0012,0.0037,0.0022
2,0.0032,0.0013,0.001,0.0012,0.0015,0.0012,0.0012,0.0038,0.0021
0,0.0028,0.0024,0.0012,0.002,0.0018,0.0044,0.0019,0.002,0.0023
1,0.005,0.0024,0.0012,0.0017,0.0025,0.0036,0.0015,0.0027,0.0021
2,0.0049,0.0023,0.0012,0.0016,0.0025,0.0035,0.0015,0.0027,0.0019
