,0,1,2,3,4,5,6,7,8
0,-0.0154,-0.0042,-0.0034,-0.0024,-0.0028,-0.0022,-0.0018,-0.0056,-0.0023
1,-0.0203,-0.005,-0.0022,-0.0018,-0.0028,-0.0036,-0.0021,-0.007,-0.0023
2,-0.0202,-0.005,-0.0022,-0.0018,-0.0028,-0.0036,-0.0022,-0.0072,-0.0022
0,-0.0025,-0.0019,-0.0026,-0.0036,-0.0024,-0.0026,-0.0018,-0.0017,-0.0029
1,-0.0019,-0.0015,-0.0017,-0.004,-0.0015,-0.0021,-0.0016,-0.0021,-0.0022
2,-0.0019,-0.0015,-0.0017,-0.0038,-0.0015,-0.002,-0.0015,-0.0021,-0.0021
0,-0.0054,-0.001,-0.0015,-0.0017,-0.0013,-0.0013,-0.000904,-0.0051,-0.0021
1,-0.0021,-0.000653,-0.0022,-0.0018,-0.000979,-0.0019,-0.0016,-0.0018,-0.0029
2,-0.0021,-0.00064,-0.0022,-0.0018,-0.000954,-0.0019,-0.0016,-0.0017,-0.003
0,-0.0045,-0.0027,-0.0017,-0.0012,-0.0022,-0.0028,-0.0019,-0.0044,-0.0019
1,-0.0048,-0.002,-0.0017,-0.0013,-0.0034,-0.0039,-0.002,-0.0069,-0.0022
2,-0.0049,-0.002,-0.0017,-0.0013,-0.0033,-0.004,-0.0021,-0.0067,-0.0024
0,-0.0112,-0.002,-0.0017,-0.0031,-0.0037,-0.0022,-0.0089,-0.0121,-0.0023
1,-0.0137,-0.0019,-0.0015,-0.0032,-0.003,-0.0023,-0.0083,-0.0094,-0.0023
2,-0.0136,-0.0019,-0.0015,-0.0032,-0.0028,-0.0023,-0.0083,-0.0094,-0.0024
0,-0.0059,-0.0013,-0.002,-0.0018,-0.000989,-0.0029,-0.0014,-0.0016,-0.0016
1,-0.003,-0.0013,-0.0017,-0.0018,-0.0011,-0.002,-0.0013,-0.0026,-0.0019
2,-0.003,-0.0013,-0.0017,-0.0018,-0.001,-0.002,-0.0013,-0.0025,-0.0019
0,-0.0021,-0.000816,-0.0014,-0.0014,-0.0012,-0.0026,-0.0012,-0.00077,-0.0015
1,-0.0017,-0.000826,-0.0014,-0.0013,-0.0011,-0.0027,-0.0012,-0.001,-0.002
2,-0.0016,-0.000873,-0.0015,-0.0014,-0.0011,-0.0028,-0.0013,-0.0011,-0.0021
0,-0.000865,-0.000994,-0.0014,-0.0011,-0.0015,-0.000711,-0.000752,-0.0014,-0.000617
1,-0.001,-0.000768,-0.0012,-0.0011,-0.0011,-0.000961,-0.000644,-0.0012,-0.001
2,-0.000977,-0.000777,-0.0012,-0.0011,-0.000969,-0.000981,-0.000641,-0.0012,-0.0011
