,0,1,2,3,4,5,6,7,8
0,-0.628,-0.87,-0.833,-0.0277,-0.573,1.3,-0.0038,-0.615,0.58
1,-0.713,-1.41,-0.312,-0.35,-0.912,-0.116,-0.0222,-0.552,-0.282
2,-0.609,-1.32,-0.339,-0.359,-0.823,-0.214,-0.0755,-0.717,-0.232
0,-0.0578,-0.242,-0.0713,0.253,-0.331,-0.0687,-0.123,0.0357,-0.157
1,-0.183,-0.18,0.25,0.0427,-0.106,0.427,-0.102,-0.002,0.164
2,-0.0921,-0.166,0.249,-0.0677,0.0052,0.101,-0.339,0.0664,0.13
0,-0.894,0.219,-0.554,-0.913,0.358,0.322,0.452,-0.97,-0.0411
1,0.329,0.167,-0.693,-0.463,0.432,0.2,0.346,0.699,0.53
2,0.369,0.168,-0.676,-0.317,0.509,0.25,0.323,0.713,0.475
0,-0.847,-0.289,0.0386,0.15,0.0655,-0.403,0.462,-1.01,0.231
1,-0.928,0.65,0.739,0.702,0.127,-0.563,0.9,-1.05,0.896
2,-1.01,0.61,0.649,0.621,0.204,-0.634,0.709,-0.863,0.715
0,-0.256,-0.351,-0.573,-1.32,-0.143,-0.32,-0.814,-0.418,-0.122
1,-1.04,0.0162,-0.137,-1.53,0.426,0.514,-1.89,-0.67,0.231
2,-1.16,-0.0053,-0.137,-1.49,0.554,0.394,-1.79,-0.688,0.126
0,-1.63,0.36,0.429,0.521,0.136,-0.122,0.586,0.0071,0.477
1,-0.639,0.846,0.845,0.0502,0.499,-0.087,0.316,-0.682,0.245
2,-0.563,0.769,0.957,0.0537,0.613,-0.113,0.38,-0.58,0.271
0,-1.3,-0.0607,0.226,0.343,-0.49,-0.554,0.531,0.238,0.351
1,-0.106,-0.145,0.788,0.205,-0.0216,-0.0921,0.358,0.852,0.281
2,0.0913,-0.059,0.584,0.0364,-0.192,-0.279,0.168,0.684,0.0747
0,0.295,0.337,0.207,0.217,0.62,0.612,0.135,0.0376,-0.166
1,0.39,-0.196,-0.0515,0.303,0.215,0.743,0.179,0.333,0.575
2,0.404,-0.296,0.0281,0.339,0.333,0.684,0.171,0.343,0.653
0,-0.469,-0.566,0.316,-0.0754,0.288,-0.0974,-0.308,0.219,0.0689
1,-0.411,-0.229,0.329,0.0526,0.63,0.33,0.378,-0.934,0.249
2,-0.413,-0.207,0.133,-0.127,0.707,0.215,0.149,-0.933,0.0974
0,-0.427,-1.0,-0.915,-0.31,-0.663,-0.571,-1.48,-0.0421,-0.436
1,-0.869,0.111,-0.447,0.0936,-0.11,1.53,-0.228,-0.0628,-0.0101
2,-0.773,-0.166,-0.401,0.131,-0.182,-0.0361,0.138,-0.12,-0.0186
0,0.522,0.0726,-0.315,0.151,-0.0734,1.12,0.187,0.977,0.167
1,0.657,0.404,0.288,0.452,-0.0375,0.189,0.628,0.271,0.564
2,0.468,0.477,0.192,0.423,0.334,-0.0329,0.509,0.229,0.64
0,-0.243,0.192,0.471,-0.264,0.429,-0.735,-0.198,-1.15,-1.55
1,-0.357,-0.444,0.19,-0.309,-0.212,-0.26,0.599,-0.957,-0.54
2,-1.26,-0.295,0.319,-0.227,0.0067,-0.554,0.661,-1.16,-0.471
0,-0.664,0.0999,0.175,-0.187,-0.146,-0.118,-0.274,-0.18,-0.01
1,-1.01,0.575,0.0342,-0.212,-0.301,-0.276,0.213,-0.808,0.0902
2,-1.07,0.402,-0.0066,-0.355,-0.322,-0.324,0.196,-0.847,0.0736
0,0.226,-0.246,-0.5,-0.44,-0.194,-0.27,-0.281,-0.0401,-0.235
1,-0.11,-0.105,-0.179,-0.176,0.0725,-0.251,0.0285,-0.0043,-0.122
2,-0.172,-0.206,-0.269,-0.26,-0.0836,-0.325,-0.103,-0.129,-0.245
0,-2.43,-1.01,-1.02,-1.15,-0.867,-1.14,-1.1,-1.83,-0.206
1,-0.204,-0.0628,-1.21,-0.69,-0.759,-0.333,-0.734,-0.172,-0.458
2,-0.005,0.118,-1.09,-0.559,-0.645,-0.121,-0.728,0.0068,-0.462
0,-0.7,0.108,-0.0668,-0.578,0.18,0.278,0.694,-0.126,0.0702
1,-0.26,0.323,0.289,-1.23,-0.711,0.199,0.321,-0.0748,0.209
2,-0.51,0.433,0.296,-1.42,-0.71,0.423,0.371,-0.0105,0.252
0,0.25,-0.28,-0.0442,-0.41,-0.185,0.117,0.277,-0.0207,0.249
1,0.0122,0.0521,-0.598,-0.605,0.0276,0.675,-0.676,-0.0578,0.3
2,-0.22,0.0424,-0.938,-0.84,0.074,0.779,-0.773,0.0642,0.328
0,-0.198,0.431,-1.27,-1.46,-0.241,-0.781,-0.373,0.542,0.149
1,-1.58,0.907,-0.942,-1.26,-0.0013,-0.451,-1.12,-1.05,0.294
2,-1.42,0.898,-0.886,-1.21,0.162,-0.422,-1.05,-1.01,0.361
0,-1.91,-0.508,-0.192,0.2,-0.12,0.402,-1.25,-1.37,-0.0417
1,-0.37,0.605,1.26,0.546,0.0387,0.811,0.864,0.506,0.871
2,-0.33,0.778,1.21,0.714,0.22,0.786,0.861,0.656,0.684
0,-0.326,-0.519,0.0015,-0.334,-0.921,0.348,-0.275,0.0756,-0.315
1,-0.78,-0.086,0.896,0.336,0.285,-0.432,0.263,-0.34,0.433
2,-0.672,-0.131,0.96,0.381,0.656,-0.269,0.273,-0.484,0.465
0,-0.71,0.508,0.336,0.132,0.031,-0.179,0.271,-0.271,0.566
1,0.0899,0.417,0.708,0.215,0.63,0.623,0.332,0.846,1.22
2,0.185,0.25,0.567,0.138,0.59,0.587,0.23,0.722,1.13
0,-0.933,-0.0713,-0.298,-0.522,-0.132,0.289,0.738,-0.808,0.154
1,0.468,0.103,0.323,0.362,0.3,0.521,0.346,-1.05,0.7
2,0.386,0.184,0.475,0.483,0.478,0.452,0.426,-1.02,0.64
0,-0.363,-0.062,-0.136,-0.235,-0.177,0.175,-0.281,-0.785,0.135
1,-1.89,-0.276,-0.215,0.141,0.374,-0.0207,0.332,-0.674,0.211
2,-1.69,-0.365,-0.139,0.0502,0.385,-0.239,0.224,-0.273,-0.0042
0,-0.647,0.0822,-1.06,-0.205,0.127,-0.0669,0.169,-1.05,-0.0234
1,-1.11,-0.0351,0.0906,0.0077,0.265,0.0886,0.366,0.0224,0.302
2,-1.04,-0.0284,0.0725,0.0097,0.395,0.0371,0.314,0.0749,0.215
0,-2.33,-0.221,-0.167,-0.0477,0.236,0.321,-0.221,-1.0,1.25
1,-0.415,-0.0297,-0.771,-0.595,-0.506,0.0366,-0.0133,-1.4,0.678
2,-0.233,-0.12,-0.63,-0.472,-0.345,0.196,0.0833,-1.22,0.684
0,-0.565,0.0213,-0.442,0.12,-0.145,-0.0732,-0.105,-0.0252,-0.399
1,0.34,0.0794,-0.218,0.259,-0.178,-0.327,-0.226,0.0802,-0.474
2,0.243,-0.0183,-0.288,0.21,-0.121,-0.453,-0.308,0.198,-0.621
