,0,1,2,3,4,5,6,7,8
0,3.23e-07,-4.57e-08,-1.26e-07,-1.29e-07,3.64e-08,-1.66e-07,-9.42e-08,3.94e-07,-1.06e-07
1,6.64e-07,2.09e-07,7.02e-08,6.38e-08,1.09e-07,-5.14e-08,3.93e-08,1.28e-07,5.08e-08
2,8.86e-07,3.41e-07,1.24e-07,6.32e-08,1.36e-07,-2.38e-08,7.94e-08,3.84e-07,9.95e-09
0,-6.33e-08,-1.04e-07,-7.97e-08,-6.28e-08,-6.77e-08,-8.07e-08,-5.38e-08,-3.51e-08,-5.17e-08
1,1.52e-09,6.44e-08,1.24e-07,2.35e-07,1.19e-07,1.16e-07,8.05e-08,3.77e-08,1.4e-07
2,-4.86e-08,9.02e-08,9.55e-08,1.44e-07,1.57e-07,8.38e-08,8.25e-08,2.26e-09,8.98e-08
0,1.73e-07,4.39e-08,2.04e-08,-6.58e-09,8.16e-08,-2.92e-08,-5.73e-08,1.32e-07,-1.98e-07
1,2.36e-08,3.18e-08,5.07e-08,1.6e-08,4.09e-08,6.7e-08,7.54e-09,1.15e-08,-1.53e-10
2,1.39e-08,3.78e-08,6.67e-08,-1.69e-08,3.93e-08,9.46e-08,2.85e-08,-2.8e-09,9.32e-08
0,2.72e-07,-1.51e-08,2.86e-08,7.27e-08,3.21e-09,1.74e-07,-1.24e-08,6e-08,4.96e-08
1,3.02e-08,-7.82e-08,-1.25e-07,-9.24e-08,-1.08e-07,-6.73e-08,-2.58e-07,2.54e-07,-2.1e-07
2,1.65e-07,-1.09e-07,-1.43e-07,-1.04e-07,-2.34e-07,-1.19e-08,-2.68e-07,2.4e-07,-1.48e-07
0,-3.7e-09,4.37e-08,4.43e-08,1.17e-07,3.68e-07,1.93e-08,5.36e-07,-5.34e-07,-5.49e-08
1,3.03e-07,5.05e-08,-4.55e-09,1.13e-08,-6.7e-08,-6.61e-08,5.35e-09,2.74e-07,-1.04e-07
2,3.03e-07,1.06e-07,-5.28e-09,5.82e-09,-4.11e-07,-5.78e-08,-4.53e-09,4.14e-07,-1.27e-07
0,-5.4e-08,2.87e-08,6.54e-08,2.41e-08,5.65e-08,6.99e-09,-1.36e-08,-5.01e-08,-3.25e-08
1,5.92e-08,3.2e-08,2.41e-08,-4.31e-09,3.88e-08,-5.71e-09,-2.59e-08,3.74e-08,-1.49e-08
2,4.3e-08,2.87e-08,-2.17e-08,-1.17e-08,2.52e-08,2e-08,-6.58e-08,-1.06e-08,-3.9e-08
0,6.11e-08,6.04e-08,6.36e-09,3.39e-08,2.99e-08,7.5e-08,-3.03e-08,3.08e-08,1.2e-08
1,1.93e-08,-3.88e-08,-7.68e-08,-1.95e-08,-5.76e-08,-1.1e-07,-7.05e-08,-7.85e-08,-1.41e-07
2,-4.21e-08,-2.42e-08,-4.91e-08,1.85e-08,-4.53e-08,-8.57e-08,-3.12e-08,-6.39e-08,-1.16e-07
