,0,1,2,3,4,5,6,7,8
0,0.0062,0.0013,0.000948,0.000836,0.000795,0.0013,0.000671,0.0019,0.000987
1,0.0067,0.0016,0.000856,0.000647,0.000872,0.0012,0.000783,0.0022,0.000833
2,0.0072,0.0017,0.000903,0.000645,0.00092,0.0012,0.000826,0.0023,0.000843
0,0.00082,0.000845,0.001,0.0014,0.000953,0.0011,0.000728,0.000779,0.0012
1,0.000664,0.000543,0.000682,0.0014,0.000633,0.000779,0.000564,0.000726,0.000913
2,0.000664,0.000568,0.00065,0.0013,0.00067,0.000693,0.000546,0.000741,0.000866
0,0.0016,0.000352,0.000557,0.000539,0.000554,0.000618,0.000443,0.0015,0.000841
1,0.0011,0.000274,0.000785,0.000625,0.000418,0.000931,0.000887,0.000898,0.0014
2,0.0011,0.000273,0.000813,0.00066,0.000413,0.000964,0.000936,0.000951,0.0015
0,0.0012,0.000832,0.000742,0.000554,0.000877,0.0011,0.000876,0.0016,0.000939
1,0.0016,0.000896,0.000828,0.000639,0.0011,0.0016,0.0011,0.0016,0.0013
2,0.0016,0.000945,0.000865,0.000663,0.0012,0.0017,0.0012,0.0017,0.0013
0,0.0036,0.000715,0.000591,0.001,0.0015,0.00078,0.0033,0.0035,0.000873
1,0.0034,0.000771,0.000465,0.000824,0.0017,0.000823,0.0023,0.0028,0.0011
2,0.0035,0.000812,0.000486,0.000877,0.0015,0.000867,0.0024,0.0028,0.0012
0,0.0015,0.000577,0.000825,0.000789,0.000456,0.000943,0.00078,0.000742,0.00088
1,0.000946,0.000534,0.000892,0.00075,0.000463,0.000787,0.000627,0.000774,0.000824
2,0.000994,0.000543,0.000949,0.000803,0.000479,0.000813,0.000674,0.000801,0.000875
0,0.000648,0.000372,0.000582,0.000571,0.00039,0.000652,0.000474,0.000471,0.000509
1,0.000579,0.000354,0.000719,0.000597,0.000481,0.001,0.000611,0.000577,0.000875
2,0.000588,0.000342,0.000754,0.000627,0.000499,0.0011,0.000627,0.0006,0.000904
0,0.000431,0.000469,0.00075,0.000596,0.000779,0.000429,0.000324,0.000629,0.000272
1,0.000459,0.00036,0.000566,0.000527,0.000507,0.000561,0.000263,0.000537,0.000462
2,0.000442,0.000363,0.000599,0.000548,0.000497,0.000573,0.000267,0.000572,0.000461
0,0.0016,0.000964,0.00038,0.000417,0.000672,0.000348,0.000289,0.000942,0.000354
1,0.002,0.0011,0.000672,0.000597,0.000886,0.000379,0.000496,0.0015,0.000424
2,0.0021,0.0011,0.000701,0.000615,0.000907,0.000392,0.00052,0.0016,0.000434
0,0.0018,0.000852,0.000734,0.000541,0.000856,0.000791,0.000499,0.0015,0.000663
1,0.0023,0.000818,0.000695,0.000505,0.000952,0.000981,0.000419,0.0013,0.000645
2,0.002,0.000745,0.000688,0.000495,0.000996,0.000662,0.000393,0.0014,0.000633
0,0.0014,0.000661,0.000665,0.000703,0.000788,0.001,0.000734,0.000683,0.000519
1,0.000822,0.0008,0.000714,0.000628,0.000899,0.000913,0.000678,0.000621,0.000611
2,0.000844,0.000772,0.000753,0.000618,0.000796,0.000918,0.000695,0.00062,0.000598
0,0.0011,0.00038,0.000239,0.000222,0.00043,0.000558,0.000686,0.000853,0.000371
1,0.000913,0.000575,0.000181,0.000179,0.000572,0.000484,0.000496,0.000891,0.000404
2,0.000795,0.000605,0.000185,0.000187,0.000582,0.000448,0.000529,0.000901,0.00043
0,0.0013,0.000755,0.00046,0.000407,0.00054,0.000536,0.000413,0.000802,0.000531
1,0.0012,0.00067,0.000655,0.000529,0.000388,0.000565,0.000494,0.000729,0.000542
2,0.0013,0.000627,0.000629,0.000505,0.000387,0.000558,0.000468,0.000734,0.000508
0,0.000498,0.000634,0.001,0.000852,0.000825,0.0014,0.0012,0.000714,0.0013
1,0.000604,0.00079,0.0011,0.000944,0.000892,0.0013,0.0012,0.000852,0.0014
2,0.000623,0.000801,0.0012,0.000946,0.000919,0.0013,0.0012,0.000894,0.0014
0,0.0019,0.000767,0.000747,0.000655,0.000952,0.000693,0.000665,0.001,0.000397
1,0.001,0.00098,0.000694,0.000447,0.000711,0.000545,0.000435,0.000747,0.000416
2,0.0011,0.001,0.000716,0.000462,0.000705,0.000551,0.000435,0.000785,0.000442
0,0.0013,0.00076,0.000686,0.000605,0.0011,0.000654,0.000359,0.0015,0.000367
1,0.0017,0.000863,0.00078,0.000556,0.0014,0.000578,0.000363,0.0014,0.000369
2,0.0016,0.000855,0.000793,0.000552,0.0015,0.000542,0.000345,0.0014,0.000372
0,0.000401,0.000711,0.000683,0.000687,0.000774,0.00071,0.000589,0.000722,0.000696
1,0.000467,0.000499,0.000682,0.000585,0.000581,0.000761,0.000587,0.000766,0.00075
2,0.000462,0.00048,0.000634,0.000556,0.000557,0.000778,0.000527,0.00076,0.000736
0,0.00065,0.000569,0.000955,0.0016,0.000546,0.000608,0.0014,0.00093,0.000865
1,0.002,0.000502,0.0011,0.0019,0.000502,0.000595,0.0012,0.0014,0.000629
2,0.0021,0.000535,0.0011,0.002,0.000507,0.000616,0.0013,0.0015,0.000671
0,0.0017,0.000986,0.000793,0.000525,0.0015,0.0011,0.000671,0.001,0.0011
1,0.000848,0.0011,0.000931,0.000669,0.0011,0.0011,0.000778,0.000511,0.0016
2,0.000837,0.0012,0.001,0.000705,0.0011,0.0011,0.000839,0.000508,0.0016
0,0.000792,0.000578,0.000676,0.000534,0.000563,0.000867,0.000497,0.00055,0.000968
1,0.0013,0.000758,0.000715,0.000629,0.000798,0.0014,0.000582,0.000924,0.0012
2,0.0014,0.00078,0.000758,0.000638,0.000713,0.0014,0.000591,0.000978,0.0012
0,0.002,0.000486,0.000496,0.000316,0.00034,0.000765,0.000444,0.0021,0.000693
1,0.0015,0.000486,0.000553,0.000206,0.000393,0.000623,0.000397,0.0026,0.000579
2,0.0015,0.000509,0.000587,0.000216,0.000416,0.000658,0.000403,0.0027,0.000612
0,0.0026,0.000638,0.000696,0.000666,0.000614,0.000989,0.00041,0.0048,0.0013
1,0.0025,0.000543,0.000936,0.000989,0.000572,0.0011,0.000487,0.0041,0.0015
2,0.0026,0.000564,0.000973,0.001,0.000578,0.0011,0.000507,0.0044,0.0016
0,0.0012,0.000511,0.0025,0.000924,0.0006,0.000723,0.000533,0.0012,0.000861
1,0.0019,0.000451,0.0018,0.0011,0.000786,0.000831,0.00068,0.0013,0.000941
2,0.002,0.000476,0.0019,0.0011,0.000828,0.000825,0.000714,0.0012,0.000925
0,0.0014,0.000475,0.0013,0.000692,0.000697,0.0024,0.000823,0.0012,0.0024
1,0.0016,0.00056,0.0014,0.000621,0.000637,0.0019,0.000792,0.0011,0.0023
2,0.0016,0.000568,0.0015,0.000627,0.000631,0.002,0.000849,0.0012,0.0024
0,0.0015,0.000702,0.000465,0.000553,0.000545,0.000459,0.000326,0.0017,0.000703
1,0.0013,0.000503,0.000436,0.000594,0.000514,0.000473,0.000401,0.0019,0.000531
2,0.0014,0.000508,0.000456,0.000626,0.000528,0.00048,0.000428,0.002,0.000548
0,0.001,0.000942,0.000656,0.000651,0.00083,0.0013,0.000755,0.0011,0.0011
1,0.0012,0.000984,0.000589,0.000606,0.00086,0.0013,0.000669,0.001,0.0012
2,0.0013,0.000992,0.00059,0.000621,0.000863,0.0014,0.000681,0.0011,0.0011
